cluster_id,proteins,secreted
A0A078MK14,2,0
A0A0A2VBZ4,3,3
A0A0B7MQS5,1,0
A0A0D0RVH7,7,7
A0A0G1MTH1,1,0
A0A117EBF4,7,4
A0A151B350,7,6
A0A163ZA77,1,0
A0A165B3M3,192,184
A0A166IG42,1,0
A0A174N6D9,9,0
A0A174RHF1,14,0
A0A1C3RCD0,17,14
A0A1C5KMM8,21,1
A0A1C5KPL5,20,18
A0A1C5ML14,6,4
A0A1C5NTX1,5,1
A0A1C5QMY6,1,0
A0A1C5S0Y9,18,0
A0A1C5SKU4,3,1
A0A1C5UUU7,2,2
A0A1C5VJV2,2,2
A0A1C5YXG5,21,20
A0A1C6G745,4,3
A0A1C6J839,38,2
A0A1C6JJG3,71,52
A0A1C6JYE1,2,2
A0A1C6L3K9,24,11
A0A1E3KVD0,1,1
A0A1E3KYV2,1,1
A0A1E3L7B8,1,1
A0A1I0SEW6,321,1
A0A1I2NVF2,12,5
A0A1I3FHS7,1,0
A0A1I6K6U8,6,2
A0A1I6KY25,18,11
A0A1M5VYK8,59,1
A0A1S8QV46,1,0
A0A1U7M8N9,58,55
A0A1U7M8V5,1,0
A0A1U9NP23,1,0
A0A1V2RDC0,1,0
A0A1V4SDX7,1,0
A0A1V4SIA2,1,1
A0A1V5CDR4,177,11
A0A1V5KVW1,1,0
A0A1V5N0W8,1,0
A0A1V5RLE0,2,1
A0A1V5U0D9,1,0
A0A1V5W6F5,20,8
A0A1V5WC85,1,1
A0A1V5Y4F6,1,1
A0A1V5YL97,1,0
A0A1V5YPB2,14,0
A0A1V6BES0,1,0
A0A1V6BVN9,4,2
A0A1V6I6W1,1,1
A0A1X9M9P6,1,1
A0A1X9MEU0,2,0
A0A1X9MM83,1,1
A0A1Y0VKX2,2,1
A0A1Y2MSQ6,4,0
A0A246KEF4,4,0
A0A248JXY1,19,1
A0A254NPA3,31,29
A0A259UIB8,6,0
A0A285HCD2,27,0
A0A288QYN7,1,0
A0A2A5RNG4,14,11
A0A2H5ZIX1,1,0
A0A2H6EP44,1,0
A0A2K4ZQP4,4,0
A0A2K9E4F8,3,0
A0A2M8TZZ9,1,0
A0A2P4UJ83,1,1
A0A2P8HWB3,14,0
A0A2S9Y483,1,1
A0A2T0BMT3,3,0
A0A2W7MNT1,3,3
A0A328N7T9,2,2
A0A328NN67,2,2
A0A377Q628,1,1
A0A378NJZ7,1,1
A0A379DHS9,2,0
A0A379LHS6,1,0
A0A380MAT3,5,2
A0A380ZWG3,25,0
A0A381EB14,1,1
A0A385BU75,4,0
A0A399ERK4,50,47
A0A3N6GQP9,10,0
A0A3P3XI41,1,1
A0A3P8KH75,5,0
A0A3S5AQD8,6,0
A0A4P1JX53,9,0
A0A4R7RUE4,5,0
A0A518LP88,1,0
A0A554JQZ9,2,2
A0A562JGS4,3,3
A0A5P9HKW0,1,0
A0A5P9HN22,1,1
A0A5S5C913,1,0
A0A6C1VQR4,147,144
A0A6F8ZGF4,1,0
A0A6M1YJ42,5,1
A0A6M1ZTL2,1,0
A0A6M1ZZ67,3,0
A0A6M2A7B7,1,1
A0A6V8LYJ9,15,13
A0A7R7E2C2,109,34
A0A7U9MND5,2,0
A0A7U9SWI7,2,1
A0A7X3JY59,15,11
A0A841RQA6,7,1
A0A8B4Q8P9,8,4
C0QS73,2,2
C2ZHC9,5,4
C3JB20,9,4
C5C6Z4,3,2
D6YTN7,3,3
E4MQ17,3,3
F5XN07,16,13
I0JQX9,1,1
R6SGY6,1,0
R7C958,12,10
R7F3K0,4,0
R7K962,2,0
S7U7G8,1,0
V4R1H7,1,0
V6MEX2,6,5
V7PZ44,1,1
W4QUP1,1,0
