Alias,Center Name,Accession,Title
DRR127619,TITECH,DRR127619,Illumina HiSeq 2500 paired end sequencing of SAMD00114865
DRR127552,TITECH,DRR127552,Illumina HiSeq 2500 paired end sequencing of SAMD00114798
DRR127721,TITECH,DRR127721,Illumina HiSeq 2500 paired end sequencing of SAMD00114967
DRR127507,TITECH,DRR127507,Illumina HiSeq 2500 paired end sequencing of SAMD00114753
DRR127718,TITECH,DRR127718,Illumina HiSeq 2500 paired end sequencing of SAMD00114964
DRR127713,TITECH,DRR127713,Illumina HiSeq 2500 paired end sequencing of SAMD00114959
DRR127666,TITECH,DRR127666,Illumina HiSeq 2500 paired end sequencing of SAMD00114912
DRR127588,TITECH,DRR127588,Illumina HiSeq 2500 paired end sequencing of SAMD00114834
DRR127789,TITECH,DRR127789,Illumina HiSeq 2500 paired end sequencing of SAMD00115035
DRR127509,TITECH,DRR127509,Illumina HiSeq 2500 paired end sequencing of SAMD00114755
DRR127731,TITECH,DRR127731,Illumina HiSeq 2500 paired end sequencing of SAMD00114977
DRR162777,TITECH,DRR162777,Illumina HiSeq 2500 paired end sequencing of SAMD00154993
DRR127476,TITECH,DRR127476,Illumina HiSeq 2500 paired end sequencing of SAMD00114722
DRR127594,TITECH,DRR127594,Illumina HiSeq 2500 paired end sequencing of SAMD00114840
DRR127616,TITECH,DRR127616,Illumina HiSeq 2500 paired end sequencing of SAMD00114862
DRR127567,TITECH,DRR127567,Illumina HiSeq 2500 paired end sequencing of SAMD00114813
DRR127579,TITECH,DRR127579,Illumina HiSeq 2500 paired end sequencing of SAMD00114825
DRR127559,TITECH,DRR127559,Illumina HiSeq 2500 paired end sequencing of SAMD00114805
DRR127613,TITECH,DRR127613,Illumina HiSeq 2500 paired end sequencing of SAMD00114859
DRR127514,TITECH,DRR127514,Illumina HiSeq 2500 paired end sequencing of SAMD00114760
DRR127751,TITECH,DRR127751,Illumina HiSeq 2500 paired end sequencing of SAMD00114997
DRR127762,TITECH,DRR127762,Illumina HiSeq 2500 paired end sequencing of SAMD00115008
DRR127557,TITECH,DRR127557,Illumina HiSeq 2500 paired end sequencing of SAMD00114803
DRR127672,TITECH,DRR127672,Illumina HiSeq 2500 paired end sequencing of SAMD00114918
DRR127532,TITECH,DRR127532,Illumina HiSeq 2500 paired end sequencing of SAMD00114778
DRR127634,TITECH,DRR127634,Illumina HiSeq 2500 paired end sequencing of SAMD00114880
DRR127692,TITECH,DRR127692,Illumina HiSeq 2500 paired end sequencing of SAMD00114938
DRR127597,TITECH,DRR127597,Illumina HiSeq 2500 paired end sequencing of SAMD00114843
DRR127628,TITECH,DRR127628,Illumina HiSeq 2500 paired end sequencing of SAMD00114874
DRR127481,TITECH,DRR127481,Illumina HiSeq 2500 paired end sequencing of SAMD00114727
DRR127674,TITECH,DRR127674,Illumina HiSeq 2500 paired end sequencing of SAMD00114920
DRR127537,TITECH,DRR127537,Illumina HiSeq 2500 paired end sequencing of SAMD00114783
DRR127546,TITECH,DRR127546,Illumina HiSeq 2500 paired end sequencing of SAMD00114792
DRR127535,TITECH,DRR127535,Illumina HiSeq 2500 paired end sequencing of SAMD00114781
DRR127669,TITECH,DRR127669,Illumina HiSeq 2500 paired end sequencing of SAMD00114915
DRR127515,TITECH,DRR127515,Illumina HiSeq 2500 paired end sequencing of SAMD00114761
DRR127491,TITECH,DRR127491,Illumina HiSeq 2500 paired end sequencing of SAMD00114737
DRR127754,TITECH,DRR127754,Illumina HiSeq 2500 paired end sequencing of SAMD00115000
DRR127603,TITECH,DRR127603,Illumina HiSeq 2500 paired end sequencing of SAMD00114849
DRR127521,TITECH,DRR127521,Illumina HiSeq 2500 paired end sequencing of SAMD00114767
DRR162779,TITECH,DRR162779,Illumina HiSeq 2500 paired end sequencing of SAMD00154995
DRR127755,TITECH,DRR127755,Illumina HiSeq 2500 paired end sequencing of SAMD00115001
