,Alias,Center Name,Accession,Title
0,DRR171536,TITECH,DRR171536,SAMD00164846
1,DRR171619,TITECH,DRR171619,SAMD00164929
2,DRR171474,TITECH,DRR171474,SAMD00164748
3,DRR171714,TITECH,DRR171714,SAMD00165024
4,DRR171561,TITECH,DRR171561,SAMD00164871
5,DRR171695,TITECH,DRR171695,SAMD00165005
6,DRR171981,TITECH,DRR171981,SAMD00115050
7,DRR171493,TITECH,DRR171493,SAMD00164780
8,DRR171668,TITECH,DRR171668,SAMD00164978
9,DRR171911,TITECH,DRR171911,SAMD00114958
10,DRR171935,TITECH,DRR171935,SAMD00114991
11,DRR171930,TITECH,DRR171930,SAMD00114986
12,DRR171908,TITECH,DRR171908,SAMD00114955
13,DRR171817,TITECH,DRR171817,SAMD00114838
14,DRR171488,TITECH,DRR171488,SAMD00164774
15,DRR171468,TITECH,DRR171468,SAMD00164728
16,DRR172016,TITECH,DRR172016,SAMD00115085
17,DRR171747,TITECH,DRR171747,SAMD00114747
18,DRR171671,TITECH,DRR171671,SAMD00164981
19,DRR171528,TITECH,DRR171528,SAMD00164838
20,DRR171501,TITECH,DRR171501,SAMD00164807
21,DRR171472,TITECH,DRR171472,SAMD00164745
22,DRR171560,TITECH,DRR171560,SAMD00164870
23,DRR171736,TITECH,DRR171736,SAMD00114735
24,DRR171594,TITECH,DRR171594,SAMD00164904
25,DRR171521,TITECH,DRR171521,SAMD00164831
26,DRR171580,TITECH,DRR171580,SAMD00164890
27,DRR171717,TITECH,DRR171717,SAMD00165027
28,DRR171940,TITECH,DRR171940,SAMD00114999
29,DRR171893,TITECH,DRR171893,SAMD00114935
30,DRR171644,TITECH,DRR171644,SAMD00164954
31,DRR171691,TITECH,DRR171691,SAMD00165001
32,DRR171565,TITECH,DRR171565,SAMD00164875
33,DRR171974,TITECH,DRR171974,SAMD00115043
34,DRR171719,TITECH,DRR171719,SAMD00165029
35,DRR171765,TITECH,DRR171765,SAMD00114773
36,DRR172007,TITECH,DRR172007,SAMD00115076
37,DRR171685,TITECH,DRR171685,SAMD00164995
38,DRR171775,TITECH,DRR171775,SAMD00114787
39,DRR171480,TITECH,DRR171480,SAMD00164760
40,DRR171763,TITECH,DRR171763,SAMD00114771
41,DRR171834,TITECH,DRR171834,SAMD00114860
42,DRR171752,TITECH,DRR171752,SAMD00114752
43,DRR171637,TITECH,DRR171637,SAMD00164947
44,DRR171818,TITECH,DRR171818,SAMD00114839
45,DRR171721,TITECH,DRR171721,SAMD00165031
46,DRR171887,TITECH,DRR171887,SAMD00114927
47,DRR171675,TITECH,DRR171675,SAMD00164985
48,DRR171814,TITECH,DRR171814,SAMD00114835
49,DRR171901,TITECH,DRR171901,SAMD00114944
50,DRR171656,TITECH,DRR171656,SAMD00164966
51,DRR171874,TITECH,DRR171874,SAMD00114910
52,DRR171909,TITECH,DRR171909,SAMD00114956
53,DRR171590,TITECH,DRR171590,SAMD00164900
54,DRR171958,TITECH,DRR171958,SAMD00115026
55,DRR171868,TITECH,DRR171868,SAMD00114904
56,DRR171987,TITECH,DRR171987,SAMD00115056
57,DRR171778,TITECH,DRR171778,SAMD00114790
58,DRR171753,TITECH,DRR171753,SAMD00114754
59,DRR171756,TITECH,DRR171756,SAMD00114758
60,DRR171643,TITECH,DRR171643,SAMD00164953
61,DRR171657,TITECH,DRR171657,SAMD00164967
62,DRR171910,TITECH,DRR171910,SAMD00114957
63,DRR171879,TITECH,DRR171879,SAMD00114917
64,DRR171708,TITECH,DRR171708,SAMD00165018
65,DRR171556,TITECH,DRR171556,SAMD00164866
66,DRR171883,TITECH,DRR171883,SAMD00114923
67,DRR171526,TITECH,DRR171526,SAMD00164836
68,DRR171593,TITECH,DRR171593,SAMD00164903
69,DRR171877,TITECH,DRR171877,SAMD00114914
70,DRR171563,TITECH,DRR171563,SAMD00164873
71,DRR171669,TITECH,DRR171669,SAMD00164979
72,DRR171748,TITECH,DRR171748,SAMD00114748
73,DRR171552,TITECH,DRR171552,SAMD00164862
74,DRR171774,TITECH,DRR171774,SAMD00114786
75,DRR171725,TITECH,DRR171725,SAMD00114719
76,DRR171917,TITECH,DRR171917,SAMD00114968
77,DRR171503,TITECH,DRR171503,SAMD00164809
78,DRR171636,TITECH,DRR171636,SAMD00164946
79,DRR171824,TITECH,DRR171824,SAMD00114848
80,DRR171885,TITECH,DRR171885,SAMD00114925
81,DRR171808,TITECH,DRR171808,SAMD00114827
82,DRR171956,TITECH,DRR171956,SAMD00115024
83,DRR171864,TITECH,DRR171864,SAMD00114900
84,DRR171485,TITECH,DRR171485,SAMD00164771
85,DRR171631,TITECH,DRR171631,SAMD00164941
86,DRR171509,TITECH,DRR171509,SAMD00164819
87,DRR171771,TITECH,DRR171771,SAMD00114780
88,DRR171540,TITECH,DRR171540,SAMD00164850
89,DRR171941,TITECH,DRR171941,SAMD00115003
90,DRR171926,TITECH,DRR171926,SAMD00114980
91,DRR171798,TITECH,DRR171798,SAMD00114815
92,DRR171620,TITECH,DRR171620,SAMD00164930
93,DRR171886,TITECH,DRR171886,SAMD00114926
94,DRR171792,TITECH,DRR171792,SAMD00114808
95,DRR171522,TITECH,DRR171522,SAMD00164832
96,DRR171734,TITECH,DRR171734,SAMD00114732
97,DRR171727,TITECH,DRR171727,SAMD00114721
98,DRR171903,TITECH,DRR171903,SAMD00114947
99,DRR171805,TITECH,DRR171805,SAMD00114822
100,DRR171928,TITECH,DRR171928,SAMD00114984
101,DRR171674,TITECH,DRR171674,SAMD00164984
102,DRR171848,TITECH,DRR171848,SAMD00114879
103,DRR171569,TITECH,DRR171569,SAMD00164879
104,DRR173017,TITECH,DRR173017,SAMD00136653
105,DRR171491,TITECH,DRR171491,SAMD00164778
106,DRR171816,TITECH,DRR171816,SAMD00114837
107,DRR171959,TITECH,DRR171959,SAMD00115027
108,DRR171938,TITECH,DRR171938,SAMD00114995
109,DRR171494,TITECH,DRR171494,SAMD00164781
110,DRR171841,TITECH,DRR171841,SAMD00114870
111,DRR171810,TITECH,DRR171810,SAMD00114830
112,DRR171672,TITECH,DRR171672,SAMD00164982
113,DRR171766,TITECH,DRR171766,SAMD00114774
114,DRR172015,TITECH,DRR172015,SAMD00115084
115,DRR171499,TITECH,DRR171499,SAMD00164805
116,DRR171481,TITECH,DRR171481,SAMD00164764
117,DRR171613,TITECH,DRR171613,SAMD00164923
118,DRR171769,TITECH,DRR171769,SAMD00114777
119,DRR171907,TITECH,DRR171907,SAMD00114952
120,DRR171653,TITECH,DRR171653,SAMD00164963
121,DRR171688,TITECH,DRR171688,SAMD00164998
122,DRR171469,TITECH,DRR171469,SAMD00164729
123,DRR171677,TITECH,DRR171677,SAMD00164987
124,DRR171602,TITECH,DRR171602,SAMD00164912
125,DRR171950,TITECH,DRR171950,SAMD00115015
126,DRR171553,TITECH,DRR171553,SAMD00164863
127,DRR171750,TITECH,DRR171750,SAMD00114750
128,DRR171806,TITECH,DRR171806,SAMD00114823
129,DRR171751,TITECH,DRR171751,SAMD00114751
130,DRR171819,TITECH,DRR171819,SAMD00114841
131,DRR171654,TITECH,DRR171654,SAMD00164964
132,DRR171592,TITECH,DRR171592,SAMD00164902
133,DRR171524,TITECH,DRR171524,SAMD00164834
134,DRR171832,TITECH,DRR171832,SAMD00114857
135,DRR171548,TITECH,DRR171548,SAMD00164858
136,DRR171713,TITECH,DRR171713,SAMD00165023
137,DRR171634,TITECH,DRR171634,SAMD00164944
138,DRR171545,TITECH,DRR171545,SAMD00164855
139,DRR171963,TITECH,DRR171963,SAMD00115031
140,DRR171523,TITECH,DRR171523,SAMD00164833
141,DRR171791,TITECH,DRR171791,SAMD00114807
142,DRR171575,TITECH,DRR171575,SAMD00164885
143,DRR171786,TITECH,DRR171786,SAMD00114800
144,DRR171706,TITECH,DRR171706,SAMD00165016
145,DRR171845,TITECH,DRR171845,SAMD00114876
146,DRR171740,TITECH,DRR171740,SAMD00114740
147,DRR171465,TITECH,DRR171465,SAMD00164721
148,DRR171546,TITECH,DRR171546,SAMD00164856
149,DRR171647,TITECH,DRR171647,SAMD00164957
150,DRR171479,TITECH,DRR171479,SAMD00164758
151,DRR171875,TITECH,DRR171875,SAMD00114911
152,DRR171860,TITECH,DRR171860,SAMD00114896
153,DRR171794,TITECH,DRR171794,SAMD00114810
154,DRR171687,TITECH,DRR171687,SAMD00164997
155,DRR171964,TITECH,DRR171964,SAMD00115032
156,DRR171699,TITECH,DRR171699,SAMD00165009
157,DRR171496,TITECH,DRR171496,SAMD00164801
158,DRR171812,TITECH,DRR171812,SAMD00114832
159,DRR171800,TITECH,DRR171800,SAMD00114817
160,DRR171934,TITECH,DRR171934,SAMD00114990
161,DRR171759,TITECH,DRR171759,SAMD00114764
162,DRR171978,TITECH,DRR171978,SAMD00115047
163,DRR171603,TITECH,DRR171603,SAMD00164913
164,DRR171768,TITECH,DRR171768,SAMD00114776
165,DRR171984,TITECH,DRR171984,SAMD00115053
166,DRR171689,TITECH,DRR171689,SAMD00164999
167,DRR171990,TITECH,DRR171990,SAMD00115059
168,DRR171711,TITECH,DRR171711,SAMD00165021
169,DRR171726,TITECH,DRR171726,SAMD00114720
170,DRR171616,TITECH,DRR171616,SAMD00164926
171,DRR171838,TITECH,DRR171838,SAMD00114867
172,DRR171749,TITECH,DRR171749,SAMD00114749
173,DRR171737,TITECH,DRR171737,SAMD00114736
174,DRR171567,TITECH,DRR171567,SAMD00164877
175,DRR171549,TITECH,DRR171549,SAMD00164859
176,DRR171823,TITECH,DRR171823,SAMD00114847
177,DRR171579,TITECH,DRR171579,SAMD00164889
178,DRR172017,TITECH,DRR172017,SAMD00115086
