	unclustered	mmseqs_cluster	foldseek_cluster
0	D7VR40	A0A380CQR0	A0A1T3DQC7
1	A0A2Z5VGL1	A0A380CQR0	A0A1T3DQC7
2	A0A381IY80	A0A381IY80	A0A381IY80
3	A0A3C1VCU0	A0A3C1VCU0	R6JF01
4	A0A3D3DHY8	A0A3C1VCU0	R6JF01
5	A0A424PX64	A0A424PX64	A0A7C1VDL4
6	A0A3D4CB56	A0A424PX64	A0A7C1VDL4
7	A0A448K917	A0A448K917	A0A174D5Y6
8	A0A4R1R1X6	A0A4R1R1X6	
9	A0A4Y1WNN4	A0A4Y1WNN4	A0A0S2DKP3
10	A0A524NIR7	A0A524NIR7	R6JF01
11	A0A5M4AQY9	A0A5M4AQY9	A0A7C1VDL4
12	A0A5M4AJF1	A0A5M4AQY9	A0A7C1VDL4
13	A0A5M4B094	A0A5M4AQY9	A0A7C1VDL4
14	A0A662ZIU7	A0A662ZIU7	A0A7W0UEX7
15	UPI0006899343	A0A662ZIU7	A0A7W0UEX7
16	UPI001C94BAA6	UPI001C94BAA6	
17	UPI001BAF64F4	UPI001C94BAA6	
18	UPI0021A3AD4F	UPI001C94BAA6	
19	UPI001CD31810	UPI001CD31810	
20	UPI0021CB024D	UPI001CD31810	
21	UPI001EDE5769	UPI001EDE5769	
22	UPI001EDFC541	UPI001EDE5769	
23	UPI0012BD737C	UPI001EDE5769	
24	UPI001F62357E	UPI001F62357E	
25	UPI0021B562D1	UPI0021B562D1	
26	UPI002244FC67	UPI002244FC67	
27	UPI0022AB15F3	UPI002244FC67	
28	UPI001E5BC718	UPI002244FC67	
29	UPI001319DD27	UPI002244FC67	
30	UPI00224CF58E	UPI00224CF58E	
31	UPI0008E92AE8	UPI00224CF58E	
32	UPI0016711A7A	UPI00224CF58E	
33	UPI0004CC6BA4	UPI00224CF58E	
34	UPI0021A28889	UPI00224CF58E	
35	UPI002253F016	UPI00224CF58E	
36	UPI00223ED73D	UPI00224CF58E	
37	UPI0004C60FCC	UPI00224CF58E	
38	UPI001927EACC	UPI00224CF58E	
39	UPI00207D3946	UPI00224CF58E	
40	UPI00225C224F	UPI00224CF58E	
41	UPI001942D017	UPI00224CF58E	
42	UPI0016757FBA	UPI00224CF58E	
43	UPI000F54EBE1	UPI00224CF58E	
44	UPI001925B61E	UPI00224CF58E	
45	UPI0021C81565	UPI00224CF58E	
46	UPI002251CE95	UPI00224CF58E	
47	UPI0005259970	UPI00224CF58E	
48	UPI0011DFB361	UPI00224CF58E	
