	mmseqs_cluster	unclustered	foldseek_cluster	mmseqs_unclustered
0	A0A132I377	A0A939XBN5	A0A3N5BAA3	A0A132I377
1	A0A132I377	A0A9D8NA61	A0A3N5BAA3	A0A132I377
2	A0A132I377	A0A7V6IMH1	A0A3N5BAA3	A0A132I377
3	A0A132I377	A0A2N2XVR4	A0A3N5BAA3	A0A132I377
4	A0A132I377	A0A939TX84	A0A3N5BAA3	A0A132I377
5	A0A132I377	A0A7V6G4K2	A0A3N5BAA3	A0A132I377
6	A0A1H4BDW4	A0A1H4BDW4	A0A7V6BFC3	A0A1H4BDW4
7	A0A1H4BDW4	UPI0004A6BCF5	A0A7V6BFC3	A0A1H4BDW4
8	A0A1Q6Q1K0	A0A1Q6Q1K0	A0A1Q6Q1K0	A0A1Q6Q1K0
9	A0A1V4QWF6	A0A1V4QWF6	A0A3N5BAA3	A0A1V4QWF6
10	UPI001379B78B	UPI001379B78B		
11	UPI001379B78B	UPI00068F8D4B		
12	UPI0016821498	UPI0016821498		
13	UPI001E3D3063	UPI001E3D3063		
14	UPI001F0A3740	UPI001F0A3740		
15	UPI001FA8EB1A	UPI001FA8EB1A		
16	UPI001FA8EB1A	A0A1Y4HBR0		
17	UPI001FA8EB1A	A0A971SZ05		
18	UPI001FA8EB1A	A0A9D2M289		
19	UPI001FA8EB1A	A0A970CSA5		
20	UPI001FA8EB1A	A0A923IAS5		
21	UPI001FA8EB1A	UPI0002EFDD3A		
22	UPI001FA8EB1A	UPI001FC81EE4		
23	UPI001FA8EB1A	UPI001FC84D9B		
24	UPI001FA8EB1A	UPI001FA9EBB1		
25	UPI001FA8EB1A	A0A0W7TL79		
26	UPI001FA8EB1A	UPI000C7CB941		
27	UPI001FA8EB1A	A0A6I3QQS3		
28	UPI001FA8EB1A	UPI002096D8B6		
29	UPI001FA8EB1A	A0A2V2FRI0		
30	UPI001FA8EB1A	A0A943DEE6		
31	UPI001FA8EB1A	UPI0011C925AC		
32	UPI001FA8EB1A	A0A6N8H653		
33	UPI001FA8EB1A	UPI001D0E4E20		
34	UPI001FA8EB1A	D1PLD8		
35	UPI001FA8EB1A	A0A948T265		
36	UPI001FA8EB1A	A0A1Y4IX41		
37	UPI001FA8EB1A	UPI002108F025		
38	UPI001FA8EB1A	UPI001959ACFB		
39	UPI001FA8EB1A	A0A1Q6SXR8		
40	UPI001FA8EB1A	UPI0024322545		
41	UPI001FA8EB1A	A0A1Y3S035		
42	UPI001FA8EB1A	A0A353BNQ2		
43	UPI001FA8EB1A	A0A9D1V4M1		
44	UPI001FA8EB1A	A0A348SY61		
45	UPI001FA8EB1A	A0A3D1PT09		
46	UPI001FA8EB1A	A0A357TNY9		
47	UPI001FA8EB1A	UPI00242C942F		
48	UPI001FA8EB1A	A0A316PMT0		
49	UPI001FA8EB1A	A0A9D2JGE3		
50	UPI001FA8EB1A	A0A1T4WTZ6		
51	UPI001FA8EB1A	A0A1Y3XLL5		
52	UPI001FA8EB1A	A0A9D2E345		
53	UPI001FA8EB1A	A0A9D2ESJ8		
54	UPI001FA8EB1A	A0A921IKY3		
55	UPI001FA8EB1A	UPI001875900F		
56	UPI001FA8EB1A	UPI001B6DD5F8		
57	UPI001FA8EB1A	A0A3D2AG28		
58	UPI001FA8EB1A	A0A9D1XZ19		
59	UPI001FA8EB1A	A0A9D2FIK8		
60	UPI001FA8EB1A	A0A970W807		
61	UPI001FA8EB1A	A0A9E5G6Z8		
62	UPI001FA8EB1A	A0A1Y4TDU7		
63	UPI001FA8EB1A	UPI001FA90833		
64	UPI001FA8EB1A	UPI001F3A2F41		
65	UPI001FA8EB1A	A0A4R1R1C8		
66	UPI001FA8EB1A	A0A1Q6QTX4		
67	UPI001FA8EB1A	UPI001D0DD13C		
68	UPI001FA8EB1A	A0A1Q6QH15		
69	UPI001FA8EB1A	A0A3E2UA78		
70	UPI001FA8EB1A	A0A9D1TVB2		
71	UPI001FA8EB1A	A0A3E2W8L0		
72	UPI001FA8EB1A	UPI001DB33DE2		
73	UPI001FA8EB1A	A0A9E2NPT6		
74	UPI001FA8EB1A	UPI00095E720F		
75	UPI001FA8EB1A	A0A2A6Z865		
76	UPI001FA8EB1A	A0A2A6ZG56		
77	UPI001FA8EB1A	A0A2A7B5U7		
78	UPI001FA8EB1A	UPI001EE3719D		
79	UPI001FA8EB1A	A0A173RBK7		
80	UPI001FA8EB1A	A0A1Y3U462		
81	UPI001FA8EB1A	A0A9D2S691		
82	UPI001FA8EB1A	A0A1Y3WUB5		
83	UPI001FA8EB1A	A0A173Y8C8		
84	UPI001FA8EB1A	A0A1Y4T9D7		
85	UPI001FA8EB1A	A0A9D2T2K0		
86	UPI001FA8EB1A	A0A329TRV0		
87	UPI001FA8EB1A	A0A329U1X3		
88	UPI001FA8EB1A	UPI001B25F7D5		
89	UPI001FA8EB1A	A0A9D2FHY0		
90	UPI0020BF584E	UPI0020BF584E		
91	UPI0020BF584E	UPI000931813B		
92	A0A970NKD1	A0A970NKD1		
93	A0A9D6FQ05	A0A9D6FQ05		
94	D4LUU4	D4LUU4	D4LUU4	D4LUU4
95	UPI0003B37002	UPI0003B37002		
96	UPI0003B37002	UPI00068E4936		
97	UPI0003B37002	UPI00046D8B3A		
98	A0A7X7XSN4	A0A7X7XSN4	A0A3N5BAA3	A0A7X7XSN4
99	A0A7X7XSN4	A0A9C7YSP1	A0A3N5BAA3	A0A7X7XSN4
100	A0A7X7XSN4	A0A661WZS1	A0A3N5BAA3	A0A7X7XSN4
101	A0A920T7D6	A0A920T7D6		
102	A0A927NSA0	A0A927NSA0		
103	A0A927NSA0	UPI002016020C		
104	A0A927NSA0	A0A926DIR1		
105	A0A927NSA0	A0A943XTT1		
106	A0A927NSA0	A0A358ARK3		
107	A0A927NSA0	A0A136Q613		
108	A0A927NSA0	UPI0009ED98FE		
109	A0A927NSA0	A0A0M2NKJ5		
110	A0A927NSA0	UPI001A9C026D		
111	A0A927NSA0	UPI0009F6257C		
112	A0A927NSA0	A0A9E5STH0		
113	A0A927NSA0	A0A7C4B2G0		
114	A0A928QEY4	A0A928QEY4		
115	A0A932D3S5	A0A932D3S5		
116	A0A932D3S5	A0A661MU85		
117	A0A932D3S5	A0A520YJY1		
118	A0A932D3S5	A0A661NBH6		
119	A0A932D3S5	A0A7Y2BJP5		
120	A0A932D3S5	A0A524P3V0		
121	A0A932D3S5	A0A661N1L2		
122	A0A932D3S5	A0A2D9T2E4		
123	A0A932D3S5	A0A956CNT1		
124	A0A932D3S5	A0A955W0L6		
125	A0A932D3S5	A0A2D5ELV1		
126	A0A932D3S5	A0A356TGL9		
127	A0A932D3S5	UPI001F01F74B		
128	A0A932D3S5	A0A0F6YK23		
129	A0A932D3S5	A0A972I9F8		
130	A0A932D3S5	A0A7Y3FJZ9		
131	A0A932D3S5	A0A956BUC0		
132	A0A932D3S5	A0A956ANL7		
133	A0A932D3S5	A0A521UF91		
134	A0A937UCH2	A0A937UCH2		
135	A0A937UCH2	A0A0S8E6C4		
136	A0A940K0I3	A0A940K0I3		
137	A0A956TG33	A0A956TG33		
138	A0A970XN41	A0A970XN41		
139	A0A970XN41	A0A9D1MHP5		
140	A0A970XN41	A0A940ID25		
141	A0A970XN41	A0A9D1NCG9		
142	A0A970XN41	A0A7C6TNN5		
143	A0A970XN41	A0A970RPG1		
144	UPI001CC4486C	UPI001CC4486C		
145	UPI001CC4486C	A0A5J5HVS6		
146	UPI001CC4486C	UPI00216173EA		
147	UPI001CC4486C	E5WJV8		
148	UPI001CC4486C	UPI002161CE35		
149	UPI001CC4486C	UPI0023DAD920		
150	UPI001CC4486C	A0A169FTZ1		
151	UPI001CC4486C	A0A366K3I6		
152	UPI001CC4486C	UPI0009BADF8E		
153	UPI001CC4486C	UPI002162A6DE		
154	UPI001CC4486C	A0A2V3A159		
155	UPI001CC4486C	A0A7V7UY74		
156	UPI001CC4486C	UPI001FB46C2D		
157	UPI001CC4486C	UPI0008D8DA23		
158	UPI001CC4486C	A0A562JDR8		
159	UPI001CC4486C	UPI0008355184		
160	UPI001CC4486C	UPI002079807F		
161	UPI001CC4486C	UPI001BDF19F7		
162	UPI001CC4486C	UPI0022280F42		
163	UPI001CC4486C	UPI0004797C5C		
164	UPI001CC4486C	A0A0M0GDQ5		
165	UPI001CC4486C	UPI00222F96DA		
166	UPI001CC4486C	A0A6L5B7K2		
167	UPI001CC4486C	W7KVA1		
168	UPI001CC4486C	A0A380XUP4		
169	UPI001CC4486C	UPI00064F82ED		
170	UPI001CC4486C	UPI000480ED34		
171	UPI001CC4486C	UPI00203CF370		
172	UPI001CC4486C	UPI00177A8E26		
173	UPI001CC4486C	UPI001CD760D5		
174	UPI001CC4486C	UPI000A06E474		
175	UPI001CC4486C	A0A385NZM8		
176	UPI001CC4486C	I3DW08		
177	UPI001CC4486C	UPI00203F0DD3		
178	UPI001CC4486C	UPI001F2D3D55		
179	UPI001CC4486C	A0A2N5GIT7		
180	UPI001CC4486C	A0A2N5GCF1		
181	UPI001CC4486C	A0A941GFT1		
182	UPI001CC4486C	A0A268FCB7		
183	UPI001CC4486C	UPI001F2BA56B		
184	UPI001CC4486C	UPI0015600574		
185	UPI001CC4486C	A0A0J1IK95		
186	UPI001CC4486C	UPI0015609209		
187	UPI001CC4486C	UPI0004E0C05A		
188	UPI001CC4486C	UPI00203D4899		
189	UPI001CC4486C	R9C4C6		
190	UPI001CC4486C	UPI0020C1B434		
191	UPI001CC4486C	UPI000BA7E38C		
192	UPI001CC4486C	A0A6I1EUR5		
193	UPI001CC4486C	A0A7X0HT89		
194	UPI001CC4486C	UPI0008F93A08		
195	UPI001CC4486C	UPI0019D2D703		
196	UPI001CC4486C	A0A2N0ZLP3		
197	UPI001CC4486C	UPI002040712C		
198	UPI001CC4486C	UPI000AE2B498		
199	UPI001CC4486C	UPI000416C9DB		
200	UPI001CC4486C	A0A934J4Q2		
201	UPI001CC4486C	A0A919Z9V0		
202	UPI001CC4486C	A0A0M2PHF5		
203	UPI001CC4486C	A0A0M0LBZ6		
204	UPI001CC4486C	UPI001A9FC6C7		
205	UPI001CC4486C	UPI001CFA8D53		
206	UPI001CC4486C	UPI001EF96D1F		
207	UPI001CC4486C	UPI00203A9519		
208	UPI001CC4486C	UPI001F2249EB		
209	UPI001CC4486C	UPI001FED179B		
210	UPI001CC4486C	UPI0015F9329A		
211	UPI001CC4486C	UPI000AF3E97C		
212	UPI001CC4486C	UPI001FF87012		
213	UPI001CC4486C	A0A941FL71		
214	UPI001CC4486C	UPI001CC37A3E		
215	UPI001CC4486C	UPI001F24B4AA		
216	UPI001CC4486C	UPI00201DB0E2		
217	UPI001CC4486C	UPI00203B7732		
218	UPI001CC4486C	UPI000400FB32		
219	UPI001CC4486C	A0A179T0S5		
220	UPI001CC4486C	UPI0021F3F465		
221	UPI001CC4486C	UPI000D7294A9		
222	UPI001CC4486C	UPI001CFF3089		
223	UPI001CC4486C	UPI001F5984CE		
224	UPI001CC4486C	UPI001EFF6916		
225	UPI001CC4486C	UPI000A47B669		
226	UPI001CC4486C	A0A2C1JFE2		
227	UPI001CC4486C	UPI0020A71EC5		
228	UPI001CC4486C	UPI001FCFED8A		
229	UPI001CC4486C	UPI001FD37294		
230	UPI001F402FAF	UPI001F402FAF		
231	UPI0023795171	UPI0023795171		
232	A0A094INX1	A0A094INX1	A0A1T5EPH1	A0A094INX1
233	A0A094INX1	A0A7L7KQ39	A0A1T5EPH1	A0A094INX1
234	A0A094INX1	A0A2A1ZTC8	A0A1T5EPH1	A0A094INX1
235	A0A094INX1	A0A088T068	A0A1T5EPH1	A0A094INX1
236	A0A094INX1	A0A6I7NRZ4	A0A1T5EPH1	A0A094INX1
237	A0A1G1IJC6	A0A1G1IJC6	A0A3N5BAA3	A0A1G1IJC6
238	A0A1G4Q4B7	A0A1G4Q4B7	A0A7X8W0T6	A0A1G4Q4B7
239	A0A1G4Q4B7	A0A1I0M9Z6	A0A7X8W0T6	A0A1G4Q4B7
240	A0A1G4Q4B7	A0A1W1YH85	A0A7X8W0T6	A0A1G4Q4B7
241	A0A1G4Q4B7	UPI00068F165C	A0A7X8W0T6	A0A1G4Q4B7
242	A0A1G4Q4B7	A0A1H3DLJ3	A0A7X8W0T6	A0A1G4Q4B7
243	A0A1G4Q4B7	A0A316BE73	A0A7X8W0T6	A0A1G4Q4B7
244	A0A1G4Q4B7	A0A971V644	A0A7X8W0T6	A0A1G4Q4B7
245	A0A1G4Q4B7	A0A939V1L2	A0A7X8W0T6	A0A1G4Q4B7
246	A0A1G4Q4B7	A0A350J6H9	A0A7X8W0T6	A0A1G4Q4B7
247	A0A4Q0M8M5	A0A4Q0M8M5	A0A3N5BAA3	A0A4Q0M8M5
248	A0A4Q0M8M5	A0A2U2PAI7	A0A3N5BAA3	A0A4Q0M8M5
249	A0A4Q0M8M5	A0A5M9HNY5	A0A3N5BAA3	A0A4Q0M8M5
250	A0A4Q0M8M5	UPI00057B9F79	A0A3N5BAA3	A0A4Q0M8M5
251	A0A4Q0M8M5	UPI0003FADE25	A0A3N5BAA3	A0A4Q0M8M5
252	A0A4Q0M8M5	A0A1H7G581	A0A3N5BAA3	A0A4Q0M8M5
253	A0A4Q0M8M5	UPI00135B7CD1	A0A3N5BAA3	A0A4Q0M8M5
254	A0A4Q0M8M5	UPI001885B6F3	A0A3N5BAA3	A0A4Q0M8M5
255	A0A4Q0M8M5	A0A4P7DUR1	A0A3N5BAA3	A0A4Q0M8M5
256	A0A4Q0M8M5	A0A6N8KXD5	A0A3N5BAA3	A0A4Q0M8M5
257	A0A4Q0M8M5	A0A5C0ZT57	A0A3N5BAA3	A0A4Q0M8M5
258	A0A4Q0M8M5	UPI000E474605	A0A3N5BAA3	A0A4Q0M8M5
