	mmseqs_cluster	unclustered	foldseek_cluster	mmseqs_unclustered
0	A0A964YMG5	A0A964YMG5		
1	A0A969WWE3	A0A969WWE3		
2	A0A969WWE3	A0A7X8WLE8		
3	E0RLM3	E0RLM3	A0A660LXD8	E0RLM3
4	S5LZK0	S5LZK0	A0A1E4F369	S5LZK0
5	A0A2U3L4E8	A0A2U3L4E8	A0A2S5XNI7	A0A2U3L4E8
6	A0A2W4SH76	A0A2W4SH76	A0A2E5FW81	A0A2W4SH76
7	A0A2W4SH76	UPI001A98467C	A0A2E5FW81	A0A2W4SH76
8	A0A2W4SH76	UPI001AE788E1	A0A2E5FW81	A0A2W4SH76
9	A0A2Z6IB15	A0A2Z6IB15	A0A7C1D5R2	A0A2Z6IB15
10	A0A350WYD7	A0A350WYD7	A0A7C1D5R2	A0A350WYD7
11	A0A350WYD7	UPI0006C0EF90	A0A7C1D5R2	A0A350WYD7
12	A0A350WYD7	UPI00211599C2	A0A7C1D5R2	A0A350WYD7
13	A0A350WYD7	A0A173THH4	A0A7C1D5R2	A0A350WYD7
14	A0A350WYD7	UPI001E4D960F	A0A7C1D5R2	A0A350WYD7
15	A0A350WYD7	A0A6G2CEY7	A0A7C1D5R2	A0A350WYD7
16	A0A350WYD7	UPI001E57E166	A0A7C1D5R2	A0A350WYD7
17	A0A350WYD7	UPI00137B10B2	A0A7C1D5R2	A0A350WYD7
18	A0A350WYD7	UPI0021701C8A	A0A7C1D5R2	A0A350WYD7
19	A0A350WYD7	UPI001F4323C5	A0A7C1D5R2	A0A350WYD7
20	A0A350WYD7	UPI001FFF01A6	A0A7C1D5R2	A0A350WYD7
21	A0A3B8J9L6	A0A3B8J9L6	A0A7C1D5R2	A0A3B8J9L6
22	A0A3B8J9L6	A0A3C2EJD3	A0A7C1D5R2	A0A3B8J9L6
23	A0A3B8J9L6	UPI002025A088	A0A7C1D5R2	A0A3B8J9L6
24	A0A3B8J9L6	A0A7X8R8Q5	A0A7C1D5R2	A0A3B8J9L6
25	A0A3B8J9L6	A0A3E4U4H2	A0A7C1D5R2	A0A3B8J9L6
26	A0A3B8J9L6	UPI001F5905C9	A0A7C1D5R2	A0A3B8J9L6
27	A0A3B8J9L6	A0A173WTA2	A0A7C1D5R2	A0A3B8J9L6
28	A0A3B8J9L6	A0A374P9J9	A0A7C1D5R2	A0A3B8J9L6
29	A0A3B8J9L6	UPI000F52D738	A0A7C1D5R2	A0A3B8J9L6
30	A0A3B8J9L6	A0A8J7KVD0	A0A7C1D5R2	A0A3B8J9L6
31	A0A3B8J9L6	A0A844J1H3	A0A7C1D5R2	A0A3B8J9L6
32	A0A3B8J9L6	A0A3E2NDH8	A0A7C1D5R2	A0A3B8J9L6
33	A0A3B8J9L6	UPI000CEC7FB7	A0A7C1D5R2	A0A3B8J9L6
34	A0A3B8J9L6	A0A3C0BHE2	A0A7C1D5R2	A0A3B8J9L6
35	A0A3B8J9L6	UPI0011DD210D	A0A7C1D5R2	A0A3B8J9L6
36	A0A3B8J9L6	UPI000D6C6F91	A0A7C1D5R2	A0A3B8J9L6
37	A0A3B8J9L6	A0A1E3AEH8	A0A7C1D5R2	A0A3B8J9L6
38	A0A3B8J9L6	UPI000472C135	A0A7C1D5R2	A0A3B8J9L6
39	A0A3B8J9L6	A0A3A6HV35	A0A7C1D5R2	A0A3B8J9L6
40	A0A3B8J9L6	R7ES16	A0A7C1D5R2	A0A3B8J9L6
41	A0A3B8J9L6	A0A3D1X7Y2	A0A7C1D5R2	A0A3B8J9L6
42	A0A3D0Y2A6	A0A3D0Y2A6	A0A7C0UC19	A0A3D0Y2A6
43	A0A3D4FQE6	A0A3D4FQE6	A0A0P8W6A2	A0A3D4FQE6
44	A0A3M1FU87	A0A3M1FU87	A0A7C1D5R2	A0A3M1FU87
45	A0A402BQW1	A0A402BQW1	A0A1V5X6T1	A0A402BQW1
46	A0A4P5YFV9	A0A4P5YFV9	A0A1W1H935	A0A4P5YFV9
47	A0A4R1R9G5	A0A4R1R9G5	A0A7U4WW17	A0A4R1R9G5
48	A0A316N6C9	A0A316N6C9	A0A7C0UC19	A0A316N6C9
49	A0A316N6C9	R5YTA6	A0A7C0UC19	A0A316N6C9
50	A0A316N6C9	R7F2T6	A0A7C0UC19	A0A316N6C9
51	A0A316N6C9	R6Y3Q0	A0A7C0UC19	A0A316N6C9
52	A0A316N6C9	R7P4V8	A0A7C0UC19	A0A316N6C9
53	A0A316N6C9	R7IJV3	A0A7C0UC19	A0A316N6C9
54	A0A327WZN5	A0A327WZN5	A0A317QD51	A0A327WZN5
55	A0A380BQR4	A0A380BQR4	A0A848ZUX6	A0A380BQR4
56	A0A3A4XP68	A0A3A4XP68	A0A7C1D5R2	A0A3A4XP68
57	A0A3A4XP68	A0A975B4D5	A0A7C1D5R2	A0A3A4XP68
58	A0A3A4XP68	UPI001FF483A9	A0A7C1D5R2	A0A3A4XP68
59	A0A3A4XP68	A0A849EZH2	A0A7C1D5R2	A0A3A4XP68
60	A0A3A4XP68	UPI0013792703	A0A7C1D5R2	A0A3A4XP68
61	A0A3B8LV17	A0A3B8LV17	A0A7C0UC19	A0A3B8LV17
62	A0A3B9UXJ4	A0A3B9UXJ4	A0A3B9UXJ4	A0A3B9UXJ4
63	A0A3D5KFE7	A0A3D5KFE7		
64	A0A3L7XIJ4	A0A3L7XIJ4	A0A7C0UC19	A0A3L7XIJ4
65	A0A3L7XIJ4	A0A3L7XTM2	A0A7C0UC19	A0A3L7XIJ4
66	A0A3L7XIJ4	A0A3L7XWP2	A0A7C0UC19	A0A3L7XIJ4
67	A0A3L7XIJ4	A0A3L7YBB6	A0A7C0UC19	A0A3L7XIJ4
68	A0A3L7XIJ4	A0A3L7YBY4	A0A7C0UC19	A0A3L7XIJ4
69	A0A3L7XIJ4	A0A3L7YWI4	A0A7C0UC19	A0A3L7XIJ4
70	A0A3L7XIJ4	A0A965BC05	A0A7C0UC19	A0A3L7XIJ4
71	A0A3L7XIJ4	A0A966SRL3	A0A7C0UC19	A0A3L7XIJ4
72	A0A3M1JPE5	A0A3M1JPE5	A0A7C1D5R2	A0A3M1JPE5
73	A0A3M1JPE5	A0A1Z8Z7X0	A0A7C1D5R2	A0A3M1JPE5
74	A0A3M1JPE5	A0A945VIZ1	A0A7C1D5R2	A0A3M1JPE5
75	A0A3M1JPE5	A0A520W012	A0A7C1D5R2	A0A3M1JPE5
76	A0A3M1JPE5	A0A1Z9NEJ9	A0A7C1D5R2	A0A3M1JPE5
77	A0A3M1JPE5	A0A2E4MCK2	A0A7C1D5R2	A0A3M1JPE5
78	A0A3M1JPE5	A0A2D9J9H3	A0A7C1D5R2	A0A3M1JPE5
79	A0A3M1JPE5	A0A2E1NE29	A0A7C1D5R2	A0A3M1JPE5
80	A0A3M1JPE5	A0A2E5Y148	A0A7C1D5R2	A0A3M1JPE5
81	A0A3M1JPE5	A0A2E0CX56	A0A7C1D5R2	A0A3M1JPE5
82	A0A3M1JPE5	A0A520WHP5	A0A7C1D5R2	A0A3M1JPE5
83	A0A3M1JPE5	A0A7C7JZN5	A0A7C1D5R2	A0A3M1JPE5
84	A0A3M1JPE5	A0A946KJU3	A0A7C1D5R2	A0A3M1JPE5
85	A0A3M1JPE5	A0A945ZNM3	A0A7C1D5R2	A0A3M1JPE5
86	A0A3M1JPE5	A0A2E1WA89	A0A7C1D5R2	A0A3M1JPE5
87	A0A3M1JPE5	A0A2E6SHL9	A0A7C1D5R2	A0A3M1JPE5
88	A0A3M1JPE5	A0A944ZDM1	A0A7C1D5R2	A0A3M1JPE5
89	A0A3M1JPE5	A0A1Z8KTB0	A0A7C1D5R2	A0A3M1JPE5
90	A0A4R2CY07	A0A4R2CY07	G7EII0	A0A4R2CY07
91	A0A509KYB1	A0A509KYB1	A0A7C0UC19	A0A509KYB1
92	UPI001B20C7B4	UPI001B20C7B4		
93	UPI001B20C7B4	UPI00078799AC		
94	UPI0009406491	UPI0009406491		
95	UPI0009406491	A0A3B9Q7R1		
96	A0A6I7PTN1	A0A6I7PTN1	A0A7C1D5R2	A0A6I7PTN1
97	A0A6L5FY33	A0A6L5FY33	A0A6L5FY33	A0A6L5FY33
98	A0A7W0X0J1	A0A7W0X0J1	A0A7C5HBK0	A0A7W0X0J1
99	A0A7W0X0J1	A0A928TRD9	A0A7C5HBK0	A0A7W0X0J1
100	A0A7W0X0J1	A0A936KI13	A0A7C5HBK0	A0A7W0X0J1
101	A0A7X9FTG1	A0A7X9FTG1	A0A7Y2YMV3	A0A7X9FTG1
102	A0A7Z7DAS1	A0A7Z7DAS1	A0A1I0QSS3	A0A7Z7DAS1
103	A0A7Z9ZPG2	A0A7Z9ZPG2	A0A7X8FJ60	A0A7Z9ZPG2
104	A0A7Z9ZPG2	A0A948QZD9	A0A7X8FJ60	A0A7Z9ZPG2
105	A0A831WM33	A0A831WM33	A0A831WM33	A0A831WM33
106	UPI0002F68980	UPI0002F68980		
107	UPI0002F68980	A0A1C3EYD9		
108	UPI0002F68980	A0A0S2C967		
109	UPI0002F68980	UPI0002EB4E20		
110	UPI0002F68980	UPI0010FBF98E		
111	UPI0002F68980	UPI0002DA8A6C		
112	UPI0002F68980	UPI000315649B		
113	UPI0002F68980	UPI0007DB6552		
114	UPI0002F68980	UPI0022537F82		
115	UPI0002F68980	UPI00024F99EF		
116	UPI0002F68980	UPI00024FA1A9		
117	UPI0002F68980	UPI000253061F		
118	UPI0002F68980	A0A0F3PGV6		
119	UPI0002F68980	UPI000CDF1139		
120	UPI0002F68980	A0A0F3QJC5		
121	UPI0002F68980	UPI00030F9B6D		
122	UPI0002F68980	UPI000789E2FB		
123	UPI0002F68980	UPI00058FD7B6		
124	UPI0002F68980	UPI0019221CB1		
125	UPI0002F68980	A0A0F3MUA2		
126	UPI0002F68980	UPI00225607E3		
127	UPI0002F68980	UPI0011304828		
128	UPI0002F68980	UPI00209C72FE		
129	UPI0004076CA3	UPI0004076CA3		
130	UPI0004076CA3	UPI0009A2BDD0		
131	UPI0004076CA3	UPI0019574976		
132	UPI0004076CA3	UPI001AE10831		
133	UPI0004076CA3	UPI0006C6108F		
134	UPI0004076CA3	UPI0006BB0631		
135	UPI0004076CA3	UPI001C02220B		
136	UPI0004076CA3	UPI001C8EAC75		
137	UPI0004076CA3	UPI000699D09D		
138	UPI0004076CA3	A0A0A7G0J4		
139	UPI0004076CA3	A0A174QK40		
140	A0A7C5C976	A0A7C5C976	A0A7C5C976	A0A7C5C976
141	A0A7D3VPI8	A0A7D3VPI8	A0A7C1D5R2	A0A7D3VPI8
142	A0A7D3VPI8	UPI001F32E5D7	A0A7C1D5R2	A0A7D3VPI8
143	A0A7D3VPI8	UPI0020A33F74	A0A7C1D5R2	A0A7D3VPI8
144	A0A7D3VPI8	A0A372JFC0	A0A7C1D5R2	A0A7D3VPI8
145	A0A7D3VPI8	UPI0009FC1F80	A0A7C1D5R2	A0A7D3VPI8
146	A0A7D3VPI8	A0A3M2LGD8	A0A7C1D5R2	A0A7D3VPI8
147	A0A7D3VPI8	A0A5J6UIU5	A0A7C1D5R2	A0A7D3VPI8
148	A0A7D3VPI8	UPI001E310B22	A0A7C1D5R2	A0A7D3VPI8
149	A0A7D3VPI8	UPI0020C7B127	A0A7C1D5R2	A0A7D3VPI8
150	A0A7D3VPI8	UPI001E2AA0DF	A0A7C1D5R2	A0A7D3VPI8
151	A0A7D3VPI8	UPI002026A14F	A0A7C1D5R2	A0A7D3VPI8
152	A0A7D3VPI8	UPI0020D20FCC	A0A7C1D5R2	A0A7D3VPI8
153	A0A7D3VPI8	UPI000A00ABF5	A0A7C1D5R2	A0A7D3VPI8
154	A0A7D3VPI8	UPI0020271EBE	A0A7C1D5R2	A0A7D3VPI8
155	A0A7D3VPI8	UPI0009DCF718	A0A7C1D5R2	A0A7D3VPI8
156	A0A7D3VPI8	UPI001688DA03	A0A7C1D5R2	A0A7D3VPI8
157	A0A7D3VPI8	UPI001AAE2546	A0A7C1D5R2	A0A7D3VPI8
158	A0A7D3VPI8	A0A7H8MER7	A0A7C1D5R2	A0A7D3VPI8
159	A0A7D3VPI8	A0A4V2YZ73	A0A7C1D5R2	A0A7D3VPI8
160	A0A7D3VPI8	UPI001FB6D580	A0A7C1D5R2	A0A7D3VPI8
161	A0A7D3VPI8	A0A4R4V6V0	A0A7C1D5R2	A0A7D3VPI8
162	A0A7D3VPI8	A0A6L3W517	A0A7C1D5R2	A0A7D3VPI8
163	A0A7D3VPI8	A0A6I4M9E2	A0A7C1D5R2	A0A7D3VPI8
164	A0A7D3VPI8	UPI001F118B97	A0A7C1D5R2	A0A7D3VPI8
165	A0A7D3VPI8	UPI001F42EC86	A0A7C1D5R2	A0A7D3VPI8
166	A0A7D3VPI8	UPI0020CC06BC	A0A7C1D5R2	A0A7D3VPI8
167	A0A7D3VPI8	A0A850J151	A0A7C1D5R2	A0A7D3VPI8
168	A0A7D3VPI8	A0A846Z0Z4	A0A7C1D5R2	A0A7D3VPI8
169	A0A7D3VPI8	A0A4U3MRU9	A0A7C1D5R2	A0A7D3VPI8
170	A0A7D3VPI8	UPI000AA19A87	A0A7C1D5R2	A0A7D3VPI8
171	A0A7D3VPI8	UPI0019501981	A0A7C1D5R2	A0A7D3VPI8
172	A0A7D3VPI8	UPI001E4EE539	A0A7C1D5R2	A0A7D3VPI8
173	A0A7D3VPI8	UPI0012F7C1A1	A0A7C1D5R2	A0A7D3VPI8
174	A0A7D3VPI8	UPI00083405D6	A0A7C1D5R2	A0A7D3VPI8
175	A0A7D3VPI8	UPI0022B803DE	A0A7C1D5R2	A0A7D3VPI8
176	A0A7D3VPI8	A0A545AQX0	A0A7C1D5R2	A0A7D3VPI8
177	A0A7D3VPI8	A0A7J9Z1V1	A0A7C1D5R2	A0A7D3VPI8
178	A0A7D3VPI8	UPI001BDD1285	A0A7C1D5R2	A0A7D3VPI8
179	A0A7D3VPI8	A0A4U3LYH2	A0A7C1D5R2	A0A7D3VPI8
180	A0A7D3VPI8	UPI000AA2AAE9	A0A7C1D5R2	A0A7D3VPI8
181	A0A7D3VPI8	UPI00200F6CE4	A0A7C1D5R2	A0A7D3VPI8
182	A0A7D3VPI8	UPI00055764E6	A0A7C1D5R2	A0A7D3VPI8
183	A0A7D3VPI8	UPI0021CF005B	A0A7C1D5R2	A0A7D3VPI8
184	A0A7D3VPI8	UPI000ADC207C	A0A7C1D5R2	A0A7D3VPI8
185	A0A7D3VPI8	A0A367FJ38	A0A7C1D5R2	A0A7D3VPI8
186	A0A7D3VPI8	UPI000AEE0807	A0A7C1D5R2	A0A7D3VPI8
187	A0A7D3VPI8	UPI0007739E0C	A0A7C1D5R2	A0A7D3VPI8
188	A0A7D3VPI8	UPI001FEB25EC	A0A7C1D5R2	A0A7D3VPI8
189	A0A7D3VPI8	UPI0021AAE7F3	A0A7C1D5R2	A0A7D3VPI8
190	A0A7D3VPI8	UPI001FE786CF	A0A7C1D5R2	A0A7D3VPI8
191	A0A7D3VPI8	A0A7C9NAV9	A0A7C1D5R2	A0A7D3VPI8
192	A0A7D3VPI8	UPI0021A7BA47	A0A7C1D5R2	A0A7D3VPI8
193	A0A7D3VPI8	UPI0019BC03D2	A0A7C1D5R2	A0A7D3VPI8
194	A0A7D3VPI8	UPI0021AB58CB	A0A7C1D5R2	A0A7D3VPI8
195	A0A7D3VPI8	UPI0005263299	A0A7C1D5R2	A0A7D3VPI8
196	A0A7D3VPI8	UPI00099BDCCE	A0A7C1D5R2	A0A7D3VPI8
197	A0A7D3VPI8	UPI000B18035A	A0A7C1D5R2	A0A7D3VPI8
198	A0A7D3VPI8	UPI000AE7D3DD	A0A7C1D5R2	A0A7D3VPI8
199	A0A7D3VPI8	UPI001A4FE5A0	A0A7C1D5R2	A0A7D3VPI8
200	A0A7D3VPI8	A0A652K4B1	A0A7C1D5R2	A0A7D3VPI8
201	A0A7D3VPI8	UPI001FD7577D	A0A7C1D5R2	A0A7D3VPI8
202	A0A7D3VPI8	UPI00202EFCF3	A0A7C1D5R2	A0A7D3VPI8
203	A0A7D3VPI8	UPI0008349422	A0A7C1D5R2	A0A7D3VPI8
204	A0A7D3VPI8	UPI00178A268B	A0A7C1D5R2	A0A7D3VPI8
205	A0A7D3VPI8	UPI001FE0BA84	A0A7C1D5R2	A0A7D3VPI8
206	A0A7D3VPI8	UPI001FE8BF8C	A0A7C1D5R2	A0A7D3VPI8
207	A0A7D3VPI8	A0A3A4B610	A0A7C1D5R2	A0A7D3VPI8
208	A0A7D3VPI8	UPI000A60B7F2	A0A7C1D5R2	A0A7D3VPI8
209	A0A7D3VPI8	A0A8F5BJ53	A0A7C1D5R2	A0A7D3VPI8
210	A0A7D3VPI8	UPI000562C6FB	A0A7C1D5R2	A0A7D3VPI8
211	A0A7D3VPI8	A0A7K1L0F3	A0A7C1D5R2	A0A7D3VPI8
212	A0A7D3VPI8	UPI002032E883	A0A7C1D5R2	A0A7D3VPI8
213	A0A7D3VPI8	UPI001FA75283	A0A7C1D5R2	A0A7D3VPI8
214	A0A7D3VPI8	UPI001FA7F8AF	A0A7C1D5R2	A0A7D3VPI8
215	A0A7D3VPI8	A0A365H6P1	A0A7C1D5R2	A0A7D3VPI8
216	A0A7D3VPI8	UPI00037952AB	A0A7C1D5R2	A0A7D3VPI8
217	A0A7D3VPI8	A0A5D0UGN6	A0A7C1D5R2	A0A7D3VPI8
218	A0A7D3VPI8	A0A5D3FB85	A0A7C1D5R2	A0A7D3VPI8
219	A0A7D3VPI8	UPI001FE3217D	A0A7C1D5R2	A0A7D3VPI8
220	A0A7D3VPI8	A0A5D0NAU1	A0A7C1D5R2	A0A7D3VPI8
221	A0A7D3VPI8	A0A4R4STR4	A0A7C1D5R2	A0A7D3VPI8
222	A0A7D3VPI8	UPI001F5EB009	A0A7C1D5R2	A0A7D3VPI8
223	A0A7D3VPI8	UPI002164D2E3	A0A7C1D5R2	A0A7D3VPI8
224	A0A7D3VPI8	UPI001F32ABA5	A0A7C1D5R2	A0A7D3VPI8
225	A0A7D3VPI8	A0A372GG85	A0A7C1D5R2	A0A7D3VPI8
226	A0A7D3VPI8	UPI001FB67C89	A0A7C1D5R2	A0A7D3VPI8
