	ld_carboxypeptidases_unclustered	ld_carboxypeptidases_mmseqs_cluster	ld_carboxypeptidases_foldseek_cluster
0	A0A964YMG5	A0A964YMG5	
1	A0A969WWE3	A0A969WWE3	
2	A0A7X8WLE8	A0A969WWE3	
3	E0RLM3	E0RLM3	A0A660LXD8
4	S5LZK0	S5LZK0	A0A1E4F369
5	A0A2U3L4E8	A0A2U3L4E8	A0A2S5XNI7
6	A0A2W4SH76	A0A2W4SH76	A0A2E5FW81
7	UPI001A98467C	A0A2W4SH76	A0A2E5FW81
8	UPI001AE788E1	A0A2W4SH76	A0A2E5FW81
9	A0A2Z6IB15	A0A2Z6IB15	A0A7C1D5R2
10	A0A350WYD7	A0A350WYD7	A0A7C1D5R2
11	UPI0006C0EF90	A0A350WYD7	A0A7C1D5R2
12	UPI00211599C2	A0A350WYD7	A0A7C1D5R2
13	A0A173THH4	A0A350WYD7	A0A7C1D5R2
14	UPI001E4D960F	A0A350WYD7	A0A7C1D5R2
15	A0A6G2CEY7	A0A350WYD7	A0A7C1D5R2
16	UPI001E57E166	A0A350WYD7	A0A7C1D5R2
17	UPI00137B10B2	A0A350WYD7	A0A7C1D5R2
18	UPI0021701C8A	A0A350WYD7	A0A7C1D5R2
19	UPI001F4323C5	A0A350WYD7	A0A7C1D5R2
20	UPI001FFF01A6	A0A350WYD7	A0A7C1D5R2
21	A0A3B8J9L6	A0A3B8J9L6	A0A7C1D5R2
22	A0A3C2EJD3	A0A3B8J9L6	A0A7C1D5R2
23	UPI002025A088	A0A3B8J9L6	A0A7C1D5R2
24	A0A7X8R8Q5	A0A3B8J9L6	A0A7C1D5R2
25	A0A3E4U4H2	A0A3B8J9L6	A0A7C1D5R2
26	UPI001F5905C9	A0A3B8J9L6	A0A7C1D5R2
27	A0A173WTA2	A0A3B8J9L6	A0A7C1D5R2
28	A0A374P9J9	A0A3B8J9L6	A0A7C1D5R2
29	UPI000F52D738	A0A3B8J9L6	A0A7C1D5R2
30	A0A8J7KVD0	A0A3B8J9L6	A0A7C1D5R2
31	A0A844J1H3	A0A3B8J9L6	A0A7C1D5R2
32	A0A3E2NDH8	A0A3B8J9L6	A0A7C1D5R2
33	UPI000CEC7FB7	A0A3B8J9L6	A0A7C1D5R2
34	A0A3C0BHE2	A0A3B8J9L6	A0A7C1D5R2
35	UPI0011DD210D	A0A3B8J9L6	A0A7C1D5R2
36	UPI000D6C6F91	A0A3B8J9L6	A0A7C1D5R2
37	A0A1E3AEH8	A0A3B8J9L6	A0A7C1D5R2
38	UPI000472C135	A0A3B8J9L6	A0A7C1D5R2
39	A0A3A6HV35	A0A3B8J9L6	A0A7C1D5R2
40	R7ES16	A0A3B8J9L6	A0A7C1D5R2
41	A0A3D1X7Y2	A0A3B8J9L6	A0A7C1D5R2
42	A0A3D0Y2A6	A0A3D0Y2A6	A0A7C0UC19
43	A0A3D4FQE6	A0A3D4FQE6	A0A0P8W6A2
44	A0A3M1FU87	A0A3M1FU87	A0A7C1D5R2
45	A0A402BQW1	A0A402BQW1	A0A1V5X6T1
46	A0A4P5YFV9	A0A4P5YFV9	A0A1W1H935
47	A0A4R1R9G5	A0A4R1R9G5	A0A7U4WW17
48	A0A316N6C9	A0A316N6C9	A0A7C0UC19
49	R5YTA6	A0A316N6C9	A0A7C0UC19
50	R7F2T6	A0A316N6C9	A0A7C0UC19
51	R6Y3Q0	A0A316N6C9	A0A7C0UC19
52	R7P4V8	A0A316N6C9	A0A7C0UC19
53	R7IJV3	A0A316N6C9	A0A7C0UC19
54	A0A327WZN5	A0A327WZN5	A0A317QD51
55	A0A380BQR4	A0A380BQR4	A0A848ZUX6
56	A0A3A4XP68	A0A3A4XP68	A0A7C1D5R2
57	A0A975B4D5	A0A3A4XP68	A0A7C1D5R2
58	UPI001FF483A9	A0A3A4XP68	A0A7C1D5R2
59	A0A849EZH2	A0A3A4XP68	A0A7C1D5R2
60	UPI0013792703	A0A3A4XP68	A0A7C1D5R2
61	A0A3B8LV17	A0A3B8LV17	A0A7C0UC19
62	A0A3B9UXJ4	A0A3B9UXJ4	A0A3B9UXJ4
63	A0A3D5KFE7	A0A3D5KFE7	
64	A0A3L7XIJ4	A0A3L7XIJ4	A0A7C0UC19
65	A0A3L7XTM2	A0A3L7XIJ4	A0A7C0UC19
66	A0A3L7XWP2	A0A3L7XIJ4	A0A7C0UC19
67	A0A3L7YBB6	A0A3L7XIJ4	A0A7C0UC19
68	A0A3L7YBY4	A0A3L7XIJ4	A0A7C0UC19
69	A0A3L7YWI4	A0A3L7XIJ4	A0A7C0UC19
70	A0A965BC05	A0A3L7XIJ4	A0A7C0UC19
71	A0A966SRL3	A0A3L7XIJ4	A0A7C0UC19
72	A0A3M1JPE5	A0A3M1JPE5	A0A7C1D5R2
73	A0A1Z8Z7X0	A0A3M1JPE5	A0A7C1D5R2
74	A0A945VIZ1	A0A3M1JPE5	A0A7C1D5R2
75	A0A520W012	A0A3M1JPE5	A0A7C1D5R2
76	A0A1Z9NEJ9	A0A3M1JPE5	A0A7C1D5R2
77	A0A2E4MCK2	A0A3M1JPE5	A0A7C1D5R2
78	A0A2D9J9H3	A0A3M1JPE5	A0A7C1D5R2
79	A0A2E1NE29	A0A3M1JPE5	A0A7C1D5R2
80	A0A2E5Y148	A0A3M1JPE5	A0A7C1D5R2
81	A0A2E0CX56	A0A3M1JPE5	A0A7C1D5R2
82	A0A520WHP5	A0A3M1JPE5	A0A7C1D5R2
83	A0A7C7JZN5	A0A3M1JPE5	A0A7C1D5R2
84	A0A946KJU3	A0A3M1JPE5	A0A7C1D5R2
85	A0A945ZNM3	A0A3M1JPE5	A0A7C1D5R2
86	A0A2E1WA89	A0A3M1JPE5	A0A7C1D5R2
87	A0A2E6SHL9	A0A3M1JPE5	A0A7C1D5R2
88	A0A944ZDM1	A0A3M1JPE5	A0A7C1D5R2
89	A0A1Z8KTB0	A0A3M1JPE5	A0A7C1D5R2
90	A0A4R2CY07	A0A4R2CY07	G7EII0
91	A0A509KYB1	A0A509KYB1	A0A7C0UC19
92	UPI001B20C7B4	UPI001B20C7B4	
93	UPI00078799AC	UPI001B20C7B4	
94	UPI0009406491	UPI0009406491	
95	A0A3B9Q7R1	UPI0009406491	
96	A0A6I7PTN1	A0A6I7PTN1	A0A7C1D5R2
97	A0A6L5FY33	A0A6L5FY33	A0A6L5FY33
98	A0A7W0X0J1	A0A7W0X0J1	A0A7C5HBK0
99	A0A928TRD9	A0A7W0X0J1	A0A7C5HBK0
100	A0A936KI13	A0A7W0X0J1	A0A7C5HBK0
101	A0A7X9FTG1	A0A7X9FTG1	A0A7Y2YMV3
102	A0A7Z7DAS1	A0A7Z7DAS1	A0A1I0QSS3
103	A0A7Z9ZPG2	A0A7Z9ZPG2	A0A7X8FJ60
104	A0A948QZD9	A0A7Z9ZPG2	A0A7X8FJ60
105	A0A831WM33	A0A831WM33	A0A831WM33
106	UPI0002F68980	UPI0002F68980	
107	A0A1C3EYD9	UPI0002F68980	
108	A0A0S2C967	UPI0002F68980	
109	UPI0002EB4E20	UPI0002F68980	
110	UPI0010FBF98E	UPI0002F68980	
111	UPI0002DA8A6C	UPI0002F68980	
112	UPI000315649B	UPI0002F68980	
113	UPI0007DB6552	UPI0002F68980	
114	UPI0022537F82	UPI0002F68980	
115	UPI00024F99EF	UPI0002F68980	
116	UPI00024FA1A9	UPI0002F68980	
117	UPI000253061F	UPI0002F68980	
118	A0A0F3PGV6	UPI0002F68980	
119	UPI000CDF1139	UPI0002F68980	
120	A0A0F3QJC5	UPI0002F68980	
121	UPI00030F9B6D	UPI0002F68980	
122	UPI000789E2FB	UPI0002F68980	
123	UPI00058FD7B6	UPI0002F68980	
124	UPI0019221CB1	UPI0002F68980	
125	A0A0F3MUA2	UPI0002F68980	
126	UPI00225607E3	UPI0002F68980	
127	UPI0011304828	UPI0002F68980	
128	UPI00209C72FE	UPI0002F68980	
129	UPI0004076CA3	UPI0004076CA3	
130	UPI0009A2BDD0	UPI0004076CA3	
131	UPI0019574976	UPI0004076CA3	
132	UPI001AE10831	UPI0004076CA3	
133	UPI0006C6108F	UPI0004076CA3	
134	UPI0006BB0631	UPI0004076CA3	
135	UPI001C02220B	UPI0004076CA3	
136	UPI001C8EAC75	UPI0004076CA3	
137	UPI000699D09D	UPI0004076CA3	
138	A0A0A7G0J4	UPI0004076CA3	
139	A0A174QK40	UPI0004076CA3	
140	A0A7C5C976	A0A7C5C976	A0A7C5C976
141	A0A7D3VPI8	A0A7D3VPI8	A0A7C1D5R2
142	UPI001F32E5D7	A0A7D3VPI8	A0A7C1D5R2
143	UPI0020A33F74	A0A7D3VPI8	A0A7C1D5R2
144	A0A372JFC0	A0A7D3VPI8	A0A7C1D5R2
145	UPI0009FC1F80	A0A7D3VPI8	A0A7C1D5R2
146	A0A3M2LGD8	A0A7D3VPI8	A0A7C1D5R2
147	A0A5J6UIU5	A0A7D3VPI8	A0A7C1D5R2
148	UPI001E310B22	A0A7D3VPI8	A0A7C1D5R2
149	UPI0020C7B127	A0A7D3VPI8	A0A7C1D5R2
150	UPI001E2AA0DF	A0A7D3VPI8	A0A7C1D5R2
151	UPI002026A14F	A0A7D3VPI8	A0A7C1D5R2
152	UPI0020D20FCC	A0A7D3VPI8	A0A7C1D5R2
153	UPI000A00ABF5	A0A7D3VPI8	A0A7C1D5R2
154	UPI0020271EBE	A0A7D3VPI8	A0A7C1D5R2
155	UPI0009DCF718	A0A7D3VPI8	A0A7C1D5R2
156	UPI001688DA03	A0A7D3VPI8	A0A7C1D5R2
157	UPI001AAE2546	A0A7D3VPI8	A0A7C1D5R2
158	A0A7H8MER7	A0A7D3VPI8	A0A7C1D5R2
159	A0A4V2YZ73	A0A7D3VPI8	A0A7C1D5R2
160	UPI001FB6D580	A0A7D3VPI8	A0A7C1D5R2
161	A0A4R4V6V0	A0A7D3VPI8	A0A7C1D5R2
162	A0A6L3W517	A0A7D3VPI8	A0A7C1D5R2
163	A0A6I4M9E2	A0A7D3VPI8	A0A7C1D5R2
164	UPI001F118B97	A0A7D3VPI8	A0A7C1D5R2
165	UPI001F42EC86	A0A7D3VPI8	A0A7C1D5R2
166	UPI0020CC06BC	A0A7D3VPI8	A0A7C1D5R2
167	A0A850J151	A0A7D3VPI8	A0A7C1D5R2
168	A0A846Z0Z4	A0A7D3VPI8	A0A7C1D5R2
169	A0A4U3MRU9	A0A7D3VPI8	A0A7C1D5R2
170	UPI000AA19A87	A0A7D3VPI8	A0A7C1D5R2
171	UPI0019501981	A0A7D3VPI8	A0A7C1D5R2
172	UPI001E4EE539	A0A7D3VPI8	A0A7C1D5R2
173	UPI0012F7C1A1	A0A7D3VPI8	A0A7C1D5R2
174	UPI00083405D6	A0A7D3VPI8	A0A7C1D5R2
175	UPI0022B803DE	A0A7D3VPI8	A0A7C1D5R2
176	A0A545AQX0	A0A7D3VPI8	A0A7C1D5R2
177	A0A7J9Z1V1	A0A7D3VPI8	A0A7C1D5R2
178	UPI001BDD1285	A0A7D3VPI8	A0A7C1D5R2
179	A0A4U3LYH2	A0A7D3VPI8	A0A7C1D5R2
180	UPI000AA2AAE9	A0A7D3VPI8	A0A7C1D5R2
181	UPI00200F6CE4	A0A7D3VPI8	A0A7C1D5R2
182	UPI00055764E6	A0A7D3VPI8	A0A7C1D5R2
183	UPI0021CF005B	A0A7D3VPI8	A0A7C1D5R2
184	UPI000ADC207C	A0A7D3VPI8	A0A7C1D5R2
185	A0A367FJ38	A0A7D3VPI8	A0A7C1D5R2
186	UPI000AEE0807	A0A7D3VPI8	A0A7C1D5R2
187	UPI0007739E0C	A0A7D3VPI8	A0A7C1D5R2
188	UPI001FEB25EC	A0A7D3VPI8	A0A7C1D5R2
189	UPI0021AAE7F3	A0A7D3VPI8	A0A7C1D5R2
190	UPI001FE786CF	A0A7D3VPI8	A0A7C1D5R2
191	A0A7C9NAV9	A0A7D3VPI8	A0A7C1D5R2
192	UPI0021A7BA47	A0A7D3VPI8	A0A7C1D5R2
193	UPI0019BC03D2	A0A7D3VPI8	A0A7C1D5R2
194	UPI0021AB58CB	A0A7D3VPI8	A0A7C1D5R2
195	UPI0005263299	A0A7D3VPI8	A0A7C1D5R2
196	UPI00099BDCCE	A0A7D3VPI8	A0A7C1D5R2
197	UPI000B18035A	A0A7D3VPI8	A0A7C1D5R2
198	UPI000AE7D3DD	A0A7D3VPI8	A0A7C1D5R2
199	UPI001A4FE5A0	A0A7D3VPI8	A0A7C1D5R2
200	A0A652K4B1	A0A7D3VPI8	A0A7C1D5R2
201	UPI001FD7577D	A0A7D3VPI8	A0A7C1D5R2
202	UPI00202EFCF3	A0A7D3VPI8	A0A7C1D5R2
203	UPI0008349422	A0A7D3VPI8	A0A7C1D5R2
204	UPI00178A268B	A0A7D3VPI8	A0A7C1D5R2
205	UPI001FE0BA84	A0A7D3VPI8	A0A7C1D5R2
206	UPI001FE8BF8C	A0A7D3VPI8	A0A7C1D5R2
207	A0A3A4B610	A0A7D3VPI8	A0A7C1D5R2
208	UPI000A60B7F2	A0A7D3VPI8	A0A7C1D5R2
209	A0A8F5BJ53	A0A7D3VPI8	A0A7C1D5R2
210	UPI000562C6FB	A0A7D3VPI8	A0A7C1D5R2
211	A0A7K1L0F3	A0A7D3VPI8	A0A7C1D5R2
212	UPI002032E883	A0A7D3VPI8	A0A7C1D5R2
213	UPI001FA75283	A0A7D3VPI8	A0A7C1D5R2
214	UPI001FA7F8AF	A0A7D3VPI8	A0A7C1D5R2
215	A0A365H6P1	A0A7D3VPI8	A0A7C1D5R2
216	UPI00037952AB	A0A7D3VPI8	A0A7C1D5R2
217	A0A5D0UGN6	A0A7D3VPI8	A0A7C1D5R2
218	A0A5D3FB85	A0A7D3VPI8	A0A7C1D5R2
219	UPI001FE3217D	A0A7D3VPI8	A0A7C1D5R2
220	A0A5D0NAU1	A0A7D3VPI8	A0A7C1D5R2
221	A0A4R4STR4	A0A7D3VPI8	A0A7C1D5R2
222	UPI001F5EB009	A0A7D3VPI8	A0A7C1D5R2
223	UPI002164D2E3	A0A7D3VPI8	A0A7C1D5R2
224	UPI001F32ABA5	A0A7D3VPI8	A0A7C1D5R2
225	A0A372GG85	A0A7D3VPI8	A0A7C1D5R2
226	UPI001FB67C89	A0A7D3VPI8	A0A7C1D5R2
227	A0A4R4XVW0	A0A7D3VPI8	A0A7C1D5R2
228	A0A4V2YXL9	A0A7D3VPI8	A0A7C1D5R2
229	A0A5C4JAV1	A0A7D3VPI8	A0A7C1D5R2
230	A0A4R4LVS1	A0A7D3VPI8	A0A7C1D5R2
231	UPI001FB7ECB7	A0A7D3VPI8	A0A7C1D5R2
232	A0A429GAG4	A0A7D3VPI8	A0A7C1D5R2
233	UPI001F3E4015	A0A7D3VPI8	A0A7C1D5R2
234	UPI0003FF60BD	A0A7D3VPI8	A0A7C1D5R2
235	A0A4R4MHQ7	A0A7D3VPI8	A0A7C1D5R2
236	A0A4R5EV54	A0A7D3VPI8	A0A7C1D5R2
237	UPI001E3C1992	A0A7D3VPI8	A0A7C1D5R2
238	A0A6N7IC39	A0A7D3VPI8	A0A7C1D5R2
239	A0A939T4Y2	A0A7D3VPI8	A0A7C1D5R2
240	UPI00082B10D4	A0A7D3VPI8	A0A7C1D5R2
241	UPI0020922C26	A0A7D3VPI8	A0A7C1D5R2
242	UPI001650A449	A0A7D3VPI8	A0A7C1D5R2
243	UPI002092CAEC	A0A7D3VPI8	A0A7C1D5R2
244	UPI002093716E	A0A7D3VPI8	A0A7C1D5R2
245	UPI002093CB89	A0A7D3VPI8	A0A7C1D5R2
246	A0A6H9Z2D0	A0A7D3VPI8	A0A7C1D5R2
247	A0A7H8YZK4	A0A7H8YZK4	A0A1I1P0F7
248	A0A7V4SN01	A0A7V4SN01	A0A7C0UC19
249	A0A7W1A738	A0A7W1A738	A0A660LXD8
250	A0A7X6P750	A0A7X6P750	A0A660LXD8
251	A0A7X7GUY2	A0A7X7GUY2	A0A1E4F369
252	A0A4Q5X273	A0A7X7GUY2	A0A1E4F369
253	A0A1W9QCH9	A0A7X7GUY2	A0A1E4F369
254	A0A952RPD2	A0A7X7GUY2	A0A1E4F369
255	A0A1M3NAX6	A0A7X7GUY2	A0A1E4F369
256	UPI0011BA8589	A0A7X7GUY2	A0A1E4F369
257	A0A956DID0	A0A7X7GUY2	A0A1E4F369
258	A0A956IR64	A0A7X7GUY2	A0A1E4F369
259	A0A956F778	A0A7X7GUY2	A0A1E4F369
260	A0A952UT21	A0A7X7GUY2	A0A1E4F369
261	A0A935ZEH6	A0A7X7GUY2	A0A1E4F369
262	A0A935D1E5	A0A7X7GUY2	A0A1E4F369
263	A9F1V4	A0A7X7GUY2	A0A1E4F369
264	A0A2L0EWX0	A0A7X7GUY2	A0A1E4F369
265	A0A661P3B9	A0A7X7GUY2	A0A1E4F369
266	A0A7Y5NUJ3	A0A7X7GUY2	A0A1E4F369
267	A0A849ZGI6	A0A7X7GUY2	A0A1E4F369
268	A0A850BNJ5	A0A7X7GUY2	A0A1E4F369
269	A0A150Q6D0	A0A7X7GUY2	A0A1E4F369
270	A0A4P2QT12	A0A7X7GUY2	A0A1E4F369
271	A0A150TG19	A0A7X7GUY2	A0A1E4F369
272	A0A956CES4	A0A7X7GUY2	A0A1E4F369
273	A0A933ZHM2	A0A7X7GUY2	A0A1E4F369
274	A0A931V4T4	A0A7X7GUY2	A0A1E4F369
275	A0A928STI7	A0A7X7GUY2	A0A1E4F369
276	A0A7Y5H9J1	A0A7Y5H9J1	A0A7C0UC19
277	A0A7Y9XA64	A0A7Y9XA64	A0A7Y9DQ42
278	A0A840WMN6	A0A7Y9XA64	A0A7Y9DQ42
279	A0A7W9YKB8	A0A7Y9XA64	A0A7Y9DQ42
280	A0A7W8QQN2	A0A7Y9XA64	A0A7Y9DQ42
281	A0A852TPF5	A0A7Y9XA64	A0A7Y9DQ42
282	A0A853BP23	A0A7Y9XA64	A0A7Y9DQ42
283	A0A841IJ48	A0A7Y9XA64	A0A7Y9DQ42
284	A0A7Z0EPY8	A0A7Y9XA64	A0A7Y9DQ42
285	A0A8J3EKZ4	A0A8J3EKZ4	
286	A0A1M6SCZ1	A0A8J3EKZ4	
287	A0A416ZJY0	A0A8J3EKZ4	
