mmseqs_cluster	unclustered
DL-endopeptidase_UniRef100_A0A174B8I9|1359|g__Coprococcus.s__Coprococcus_species	DL-endopeptidase_UniRef100_A0A174B8I9|1359|g__Coprococcus.s__Coprococcus_species
DL-endopeptidase_UniRef100_A0A1E2RWF6|873|g__Methyloligella.s__Methyloligella_species	DL-endopeptidase_UniRef100_A0A1E2RWF6|873|g__Methyloligella.s__Methyloligella_species
DL-endopeptidase_UniRef100_A0A1V6HF93|786|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A1V6HF93|786|g__Bacteroidota.s__Bacteroidota_species
DL-endopeptidase_UniRef100_A0A380MZP3|762|g__Suttonella.s__Suttonella_species	DL-endopeptidase_UniRef100_A0A380MZP3|762|g__Suttonella.s__Suttonella_species
DL-endopeptidase_UniRef100_A0A428I3D7|852|g__Streptococcus.s__Streptococcus_species	DL-endopeptidase_UniRef100_A0A428I3D7|852|g__Streptococcus.s__Streptococcus_species
DL-endopeptidase_UniRef100_R5RW36|1740|g__Clostridium.s__Clostridium_species	DL-endopeptidase_UniRef100_R5RW36|1740|g__Clostridium.s__Clostridium_species
DL-endopeptidase_UniRef100_R5RW36|1740|g__Clostridium.s__Clostridium_species	DL-endopeptidase_UniRef100_R6LNQ7|1716|g__Clostridium.s__Clostridium_species
DL-endopeptidase_UniRef100_A0A285NMQ5|1188|g__Terribacillus.s__Terribacillus_species	DL-endopeptidase_UniRef100_A0A285NMQ5|1188|g__Terribacillus.s__Terribacillus_species
DL-endopeptidase_UniRef100_A0A285NMQ5|1188|g__Terribacillus.s__Terribacillus_species	DL-endopeptidase_UniRef100_A0A8D3WV90|372|g__Priestia.s__Priestia_species
DL-endopeptidase_UniRef100_A0A285NMQ5|1188|g__Terribacillus.s__Terribacillus_species	DL-endopeptidase_UniRef100_A0A1G6VBJ0|1185|g__Terribacillus.s__Terribacillus_species
DL-endopeptidase_UniRef100_A0A7J0AAJ5|933|g__Muribaculaceae.s__Muribaculaceae_species	DL-endopeptidase_UniRef100_A0A7J0AAJ5|933|g__Muribaculaceae.s__Muribaculaceae_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A927QL70|759|g__Flavobacterium.s__Flavobacterium_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A0X7BBE7|759|g__Flavobacterium.s__Flavobacterium_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A653U5P8|759|g__Flavobacterium.s__Flavobacterium_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A199XUM9|759|g__Flavobacterium.s__Flavobacterium_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A2N9PB06|759|g__Flavobacterium.s__Flavobacterium_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A385BSW3|747|g__Flavobacteriaceae.s__Flavobacteriaceae_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A330MML9|747|g__Aequorivita.s__Aequorivita_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A8T9DW70|747|g__Flavobacteriaceae.s__Flavobacteriaceae_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A1V5NZ85|705|g__Bacteroidetes.s__Bacteroidetes_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A345H5Z6|744|g__Kordia.s__Kordia_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A7L4ZIF3|744|g__Kordia.s__Kordia_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A6N4X477|717|g__Chryseobacterium.s__Chryseobacterium_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A6N4XSY7|717|g__Chryseobacterium.s__Chryseobacterium_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A378U4R6|762|g__Myroides.s__Myroides_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A0U3F364|759|g__Myroides.s__Myroides_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A2I9EL02|750|g__Arenibacter.s__Arenibacter_species
DL-endopeptidase_UniRef100_A0A916HN28|774|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A221UYV5|750|g__Arenibacter.s__Arenibacter_species
DL-endopeptidase_UniRef100_A0A0J6VLZ1|1095|g__Mycolicibacterium.s__Mycolicibacterium_species	DL-endopeptidase_UniRef100_A0A0J6VLZ1|1095|g__Mycolicibacterium.s__Mycolicibacterium_species
DL-endopeptidase_UniRef100_A0A0J6VLZ1|1095|g__Mycolicibacterium.s__Mycolicibacterium_species	DL-endopeptidase_UniRef100_A0A0J6VCV3|849|g__Mycolicibacterium.s__Mycolicibacterium_species
DL-endopeptidase_UniRef100_A0A1C6G745|2205|g__uncultured.s__uncultured_species	DL-endopeptidase_UniRef100_A0A1C6G745|2205|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A0J1I6K8|1758|g__Peptococcaceae.s__Peptococcaceae_species	DL-endopeptidase_UniRef100_A0A0J1I6K8|1758|g__Peptococcaceae.s__Peptococcaceae_species
DL-endopeptidase_UniRef100_A0A1V4SDX7|1494|g__Ruminiclostridium.s__Ruminiclostridium_species	DL-endopeptidase_UniRef100_A0A1V4SDX7|1494|g__Ruminiclostridium.s__Ruminiclostridium_species
DL-endopeptidase_UniRef100_A0A3S5AQD8|1767|g__Eubacteriales.s__Eubacteriales_species	DL-endopeptidase_UniRef100_A0A3S5AQD8|1767|g__Eubacteriales.s__Eubacteriales_species
DL-endopeptidase_UniRef100_A0A3S5AQD8|1767|g__Eubacteriales.s__Eubacteriales_species	DL-endopeptidase_UniRef100_A0A1C6ERC7|1767|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A3S5AQD8|1767|g__Eubacteriales.s__Eubacteriales_species	DL-endopeptidase_UniRef100_A0A1C6G2Q5|1767|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A3S5AQD8|1767|g__Eubacteriales.s__Eubacteriales_species	DL-endopeptidase_UniRef100_A0A1C5WC46|1767|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A3S5AQD8|1767|g__Eubacteriales.s__Eubacteriales_species	DL-endopeptidase_UniRef100_A0A0F0CLG3|1767|g__Clostridium.s__Clostridium_species
DL-endopeptidase_UniRef100_A0A6M1ZB96|1146|g__Chlamydiae.s__Chlamydiae_species	DL-endopeptidase_UniRef100_A0A6M1ZB96|1146|g__Chlamydiae.s__Chlamydiae_species
DL-endopeptidase_UniRef100_A0A248JXY1|1278|g__Nitrospirillum.s__Nitrospirillum_species	DL-endopeptidase_UniRef100_A0A248JXY1|1278|g__Nitrospirillum.s__Nitrospirillum_species
DL-endopeptidase_UniRef100_A0A433XPS9|1434|g__Paenibacillus.s__Paenibacillus_species	DL-endopeptidase_UniRef100_A0A433XPS9|1434|g__Paenibacillus.s__Paenibacillus_species
DL-endopeptidase_UniRef100_A0A433XPS9|1434|g__Paenibacillus.s__Paenibacillus_species	DL-endopeptidase_UniRef100_A0A7X2Z4H8|1371|g__Paenibacillus.s__Paenibacillus_species
DL-endopeptidase_UniRef100_A0A1C5ML14|1401|g__uncultured.s__uncultured_species	DL-endopeptidase_UniRef100_A0A1C5ML14|1401|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A1C5YPL9|1158|g__uncultured.s__uncultured_species	DL-endopeptidase_UniRef100_A0A1C5YPL9|1158|g__uncultured.s__uncultured_species
DL-endopeptidase_UniRef100_A0A1V4WZV6|984|g__Syntrophorhabdus.s__Syntrophorhabdus_species	DL-endopeptidase_UniRef100_A0A1V4WZV6|984|g__Syntrophorhabdus.s__Syntrophorhabdus_species
DL-endopeptidase_UniRef100_A0A1V6JEK4|768|g__Bacteroidota.s__Bacteroidota_species	DL-endopeptidase_UniRef100_A0A1V6JEK4|768|g__Bacteroidota.s__Bacteroidota_species
DL-endopeptidase_UniRef100_A0A246KEF4|798|g__Brevundimonas.s__Brevundimonas_species	DL-endopeptidase_UniRef100_A0A246KEF4|798|g__Brevundimonas.s__Brevundimonas_species
DL-endopeptidase_UniRef100_A0A246KEF4|798|g__Brevundimonas.s__Brevundimonas_species	DL-endopeptidase_UniRef100_A0A5P9KME4|783|g__Brevundimonas.s__Brevundimonas_species
DL-endopeptidase_UniRef100_A0A246KEF4|798|g__Brevundimonas.s__Brevundimonas_species	DL-endopeptidase_UniRef100_A0A2X1BKU2|798|g__Brevundimonas.s__Brevundimonas_species
DL-endopeptidase_UniRef100_A0A246KEF4|798|g__Brevundimonas.s__Brevundimonas_species	DL-endopeptidase_UniRef100_A0A4P1JUU0|798|g__Brevundimonas.s__Brevundimonas_species
DL-endopeptidase_UniRef100_A0A6N2SLV1|885|g__Blautia.s__Blautia_species	DL-endopeptidase_UniRef100_A0A6N2SLV1|885|g__Blautia.s__Blautia_species
DL-endopeptidase_UniRef100_A0A977II70|1002|g__Actinokineospora.s__Actinokineospora_species	DL-endopeptidase_UniRef100_A0A977II70|1002|g__Actinokineospora.s__Actinokineospora_species
DL-endopeptidase_UniRef100_R5STP1|1551|g__Clostridium.s__Clostridium_species	DL-endopeptidase_UniRef100_R5STP1|1551|g__Clostridium.s__Clostridium_species
DL-endopeptidase_UniRef100_A0A7U9MND5|2340|g__Lachnospiraceae.s__Lachnospiraceae_species	DL-endopeptidase_UniRef100_A0A7U9MND5|2340|g__Lachnospiraceae.s__Lachnospiraceae_species
DL-endopeptidase_UniRef100_A0A7U9MND5|2340|g__Lachnospiraceae.s__Lachnospiraceae_species	DL-endopeptidase_UniRef100_A0A7U9RE39|615|g__Lachnospiraceae.s__Lachnospiraceae_species
DL-endopeptidase_UniRef100_R6SGY6|675|g__Clostridium.s__Clostridium_species	DL-endopeptidase_UniRef100_R6SGY6|675|g__Clostridium.s__Clostridium_species
DL-endopeptidase_UniRef100_A0A1I6KYN6|870|g__[Clostridium].s__[Clostridium]_species	DL-endopeptidase_UniRef100_A0A1I6KYN6|870|g__[Clostridium].s__[Clostridium]_species
DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species	DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species
DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species	DL-endopeptidase_UniRef100_A0A1G9R0B8|930|g__Sediminibacillus.s__Sediminibacillus_species
DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species	DL-endopeptidase_UniRef100_A0A1G8YV69|921|g__Sediminibacillus.s__Sediminibacillus_species
DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species	DL-endopeptidase_UniRef100_A0A368XG69|918|g__Saliterribacillus.s__Saliterribacillus_species
DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species	DL-endopeptidase_UniRef100_A0A366E6W2|921|g__Paraliobacillus.s__Paraliobacillus_species
DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species	DL-endopeptidase_UniRef100_A0A0U1KKZ9|915|g__Paraliobacillus.s__Paraliobacillus_species
DL-endopeptidase_UniRef100_A0A841RQA6|3252|g__Gracilibacillus.s__Gracilibacillus_species	DL-endopeptidase_UniRef100_A0A1H9S259|900|g__Gracilibacillus.s__Gracilibacillus_species
DL-endopeptidase_UniRef100_A0A1U7M8N9|1014|g__Tissierella.s__Tissierella_species	DL-endopeptidase_UniRef100_A0A1U7M8N9|1014|g__Tissierella.s__Tissierella_species
DL-endopeptidase_UniRef100_A0A379DHS9|669|g__Porphyromonas.s__Porphyromonas_species	DL-endopeptidase_UniRef100_A0A379DHS9|669|g__Porphyromonas.s__Porphyromonas_species
DL-endopeptidase_UniRef100_A0A379DHS9|669|g__Porphyromonas.s__Porphyromonas_species	DL-endopeptidase_UniRef100_A0A379E877|669|g__Porphyromonas.s__Porphyromonas_species
DL-endopeptidase_UniRef100_A0A6N7B1P8|849|g__Firmicutes.s__Firmicutes_species	DL-endopeptidase_UniRef100_A0A6N7B1P8|849|g__Firmicutes.s__Firmicutes_species
