	unclustered	mmseqs_cluster	foldseek_cluster
0	A0A0B8XNQ7	A0A0B8XNQ7	A0A0B0HVF0
1	A0A0G1JBJ2	A0A0G1JBJ2	A4SWU3
2	A0A0G1Q852	A0A0G1JBJ2	A4SWU3
3	A0A0J1ISN8	A0A0J1ISN8	A0A259UPC1
4	A0A0P9GGU0	A0A0P9GGU0	A0A840V6T9
5	A0A0X3ANW3	A0A0X3ANW3	A0A2H6GRU2
6	A0A136WFC8	A0A136WFC8	A0A7W7M238
7	A0A0X1U882	A0A136WFC8	A0A7W7M238
8	A0A143XQ49	A0A143XQ49	A0A143XQ49
9	A0A164C0Q4	A0A164C0Q4	A0A4R6WH34
10	A0A177W3U0	A0A177W3U0	A0A1K1XJB1
11	A0A1B3JEG5	A0A1B3JEG5	A0A1B3JEG5
12	A0A1W1UM86	A0A1B3JEG5	A0A1B3JEG5
13	A0A1C4HZC6	A0A1C4HZC6	A0A7X0L4Z6
14	A0A1E3GX92	A0A1E3GX92	A0A1E3GX92
15	A0A1G6WIN9	A0A1G6WIN9	A0A1I1ZHQ3
16	A0A1G7W3D6	A0A1G7W3D6	A0A7W7M238
17	A0A1G8QSR2	A0A1G8QSR2	A0A2H6GRU2
18	A0A1G9EUX2	A0A1G9EUX2	A0A7W7M238
19	A0A1G9RCN5	A0A1G9RCN5	A0A4R6LXJ8
20	A0A1N7J1G3	A0A1G9RCN5	A0A4R6LXJ8
21	A0A1G9ZL33	A0A1G9ZL33	A0A1M5FCY0
22	A0A1G9ZEK9	A0A1G9ZL33	A0A1M5FCY0
23	A0A1H3JTN6	A0A1H3JTN6	A0A7X0L4Z6
24	A0A2A9KNC8	A0A1H3JTN6	A0A7X0L4Z6
25	A0A840RNU9	A0A1H3JTN6	A0A7X0L4Z6
26	A0A1I1DFS8	A0A1H3JTN6	A0A7X0L4Z6
27	A0A1H3SNW3	A0A1H3SNW3	A0A841H5D1
28	A0A1H4CX24	A0A1H4CX24	A0A7W7M238
29	A0A1H3J210	A0A1H4CX24	A0A7W7M238
30	A0A6N3FH60	A0A1H4CX24	A0A7W7M238
31	A0A317S1E5	A0A1H4CX24	A0A7W7M238
32	A0A1H0WC45	A0A1H4CX24	A0A7W7M238
33	A0A1H6BPP3	A0A1H6BPP3	A0A1W1YNH7
34	A0A1I2DKU1	A0A1H6BPP3	A0A1W1YNH7
35	A0A1H8MLB6	A0A1H6BPP3	A0A1W1YNH7
36	A0A1M6U233	A0A1H6BPP3	A0A1W1YNH7
37	A0A1H7BMM3	A0A1H7BMM3	A0A4R3YH71
38	A0A1G8EIS6	A0A1H7BMM3	A0A4R3YH71
39	A0A1H1XFZ1	A0A1H7BMM3	A0A4R3YH71
40	A0A1I4B3R2	A0A1H7BMM3	A0A4R3YH71
41	A0A1H2F1M2	A0A1H7BMM3	A0A4R3YH71
42	A0A1I5UJ82	A0A1H7BMM3	A0A4R3YH71
43	A0A1M5SZX1	A0A1H7BMM3	A0A4R3YH71
44	A0A1H0ZHG1	A0A1H7BMM3	A0A4R3YH71
45	A0A0B7DKI8	A0A1H7BMM3	A0A4R3YH71
46	A0A1I0U0U7	A0A1H7BMM3	A0A4R3YH71
47	A0A2N7R589	A0A1H7BMM3	A0A4R3YH71
48	A0A0S4HV89	A0A1H7BMM3	A0A4R3YH71
49	A0A1B2FER7	A0A1H7BMM3	A0A4R3YH71
50	A0A1H5LER6	A0A1H7BMM3	A0A4R3YH71
51	A0A1H6LQK4	A0A1H7BMM3	A0A4R3YH71
52	A0A1N7C4F4	A0A1H7BMM3	A0A4R3YH71
53	A0A239FSS2	A0A1H7BMM3	A0A4R3YH71
54	A0A2J7YA79	A0A1H7BMM3	A0A4R3YH71
55	A0A1G5VKW6	A0A1H7BMM3	A0A4R3YH71
56	A0A239GRN4	A0A1H7BMM3	A0A4R3YH71
57	A0A0S4I930	A0A1H7BMM3	A0A4R3YH71
58	A0A1I1RUR3	A0A1H7BMM3	A0A4R3YH71
59	A0A560YZX9	A0A1H7BMM3	A0A4R3YH71
60	A0A1H8R861	A0A1H7BMM3	A0A4R3YH71
61	A0A1H5NJZ1	A0A1H7BMM3	A0A4R3YH71
62	A0A7Y9VW67	A0A1H7BMM3	A0A4R3YH71
63	A0A1G7MAK3	A0A1H7BMM3	A0A4R3YH71
64	A0A127N1P4	A0A1H7BMM3	A0A4R3YH71
65	A0A2T5HNF0	A0A1H7BMM3	A0A4R3YH71
66	A0A7W7KQP3	A0A1H7BMM3	A0A4R3YH71
67	A0A1I5PMB0	A0A1H7BMM3	A0A4R3YH71
68	A0A7W5HT20	A0A1H7BMM3	A0A4R3YH71
69	A0A1H3LC20	A0A1H7BMM3	A0A4R3YH71
70	A0A1H1S672	A0A1H7BMM3	A0A4R3YH71
71	A0A6L5BLU5	A0A1H7BMM3	A0A4R3YH71
72	A0A7Y9XTN1	A0A1H7BMM3	A0A4R3YH71
73	A0A1I3FCX4	A0A1H7BMM3	A0A4R3YH71
74	A0A5P9C210	A0A1H7BMM3	A0A4R3YH71
75	A0A239BAZ3	A0A1H7BMM3	A0A4R3YH71
76	A0A1H0DYA3	A0A1H7BMM3	A0A4R3YH71
77	A0A839T3V9	A0A1H7BMM3	A0A4R3YH71
78	A0A1H4USZ2	A0A1H7BMM3	A0A4R3YH71
79	A0A1K1SWM1	A0A1H7BMM3	A0A4R3YH71
80	A0A1G8A5Q7	A0A1H7BMM3	A0A4R3YH71
81	A0A1H4V7Z3	A0A1H7BMM3	A0A4R3YH71
82	A0A1K1ZD83	A0A1H7BMM3	A0A4R3YH71
83	A0A1H2CU56	A0A1H7BMM3	A0A4R3YH71
84	A0A1M6ZS47	A0A1H7BMM3	A0A4R3YH71
85	A0A1G8JQT5	A0A1H7BMM3	A0A4R3YH71
86	A0A560Q5T2	A0A1H7BMM3	A0A4R3YH71
87	A0A1I5J2V1	A0A1H7BMM3	A0A4R3YH71
88	A0A560QP89	A0A1H7BMM3	A0A4R3YH71
89	A0A7X0BQA9	A0A1H7BMM3	A0A4R3YH71
90	A0A1N7AEA1	A0A1H7BMM3	A0A4R3YH71
91	A0A542VBM8	A0A1H7BMM3	A0A4R3YH71
92	A0A1H4XHR2	A0A1H7BMM3	A0A4R3YH71
93	A0A1G7C773	A0A1H7BMM3	A0A4R3YH71
94	A0A1H0Q816	A0A1H7BMM3	A0A4R3YH71
95	A0A1H1MVZ3	A0A1H7BMM3	A0A4R3YH71
96	A0A1H1WIY8	A0A1H7BMM3	A0A4R3YH71
97	A0A1I5MPT6	A0A1H7BMM3	A0A4R3YH71
98	A0A6M8MLN7	A0A1H7BMM3	A0A4R3YH71
99	A0A1H7B717	A0A1H7BMM3	A0A4R3YH71
100	A0A1G8HNC0	A0A1H7BMM3	A0A4R3YH71
101	A0A1H9H842	A0A1H7BMM3	A0A4R3YH71
102	A0A1I0B298	A0A1H7BMM3	A0A4R3YH71
103	A0A1M7QGL7	A0A1H7BMM3	A0A4R3YH71
104	A0A2V0R834	A0A1H7BMM3	A0A4R3YH71
105	A0A2G9L0P8	A0A1H7BMM3	A0A4R3YH71
106	A0A1G5MNX2	A0A1H7BMM3	A0A4R3YH71
107	A0A1H8UWV2	A0A1H7BMM3	A0A4R3YH71
108	A0A4R2Z1F3	A0A1H7BMM3	A0A4R3YH71
109	A0A3D9F2L3	A0A1H7BMM3	A0A4R3YH71
110	A0A1I4QS40	A0A1H7BMM3	A0A4R3YH71
111	A0A1H1XFA3	A0A1H7BMM3	A0A4R3YH71
112	A0A1H1UIM3	A0A1H7BMM3	A0A4R3YH71
113	A0A1H9SEQ8	A0A1H7BMM3	A0A4R3YH71
114	A0A1H1WHD5	A0A1H7BMM3	A0A4R3YH71
115	A0A1H8QPM8	A0A1H8QPM8	A0A7W7M238
116	A0A1I1EIS7	A0A1I1EIS7	A0A1W1YNH7
117	A0A1I3M8P5	A0A1I3M8P5	A0A7W7M238
118	A0A1H8ZRN7	A0A1I3M8P5	A0A7W7M238
119	A0A1I5NGQ8	A0A1I5NGQ8	A0A7W7M238
120	A0A1M5TNA5	A0A1M5TNA5	A0A542VZJ6
121	A0A1M6NL63	A0A1M5TNA5	A0A542VZJ6
122	A0A1V4I614	A0A1M5TNA5	A0A542VZJ6
123	A0A4R2LFB0	A0A1M5TNA5	A0A542VZJ6
124	A0A1M6KFB8	A0A1M5TNA5	A0A542VZJ6
125	A0A841KL03	A0A1M5TNA5	A0A542VZJ6
126	A0A1T5MKF7	A0A1M5TNA5	A0A542VZJ6
127	A0A1M6NC00	A0A1M5TNA5	A0A542VZJ6
128	A0A1M6NGJ3	A0A1M5TNA5	A0A542VZJ6
129	A0A1M6GVJ5	A0A1M6GVJ5	A0A1V5RAV3
130	A0A1M6P4A8	A0A1M6P4A8	A0A1H5RLM9
131	A0A1M7ZLT6	A0A1M7ZLT6	A0A4R6WH34
132	A0A078M6R4	A0A078M6R4	A0A3P5X0E4
133	A0A0F0LR65	A0A0F0LR65	A0A7W3RPD6
134	A0A166H021	A0A0F0LR65	A0A7W3RPD6
135	A0A7W8ZW40	A0A0F0LR65	A0A7W3RPD6
136	A0A0J6WNP2	A0A0J6WNP2	A0A251XY06
137	A0A498QTP9	A0A0J6WNP2	A0A251XY06
138	A0A3E2MUM3	A0A0J6WNP2	A0A251XY06
139	A0A498PLC2	A0A0J6WNP2	A0A251XY06
140	A0A498QDT7	A0A0J6WNP2	A0A251XY06
141	A0A498QF05	A0A0J6WNP2	A0A251XY06
142	A0A653ET78	A0A0J6WNP2	A0A251XY06
143	A0A5S9R585	A0A0J6WNP2	A0A251XY06
144	A0A0J6V9S1	A0A0J6WNP2	A0A251XY06
145	A0A0J6VUL3	A0A0J6WNP2	A0A251XY06
146	A0A0J6YMR5	A0A0J6WNP2	A0A251XY06
147	A0A7X5ZGD0	A0A0J6WNP2	A0A251XY06
148	A0A839Q7Z2	A0A0J6WNP2	A0A251XY06
149	K5BAN0	A0A0J6WNP2	A0A251XY06
150	A0A7W8FMQ7	A0A0J6WNP2	A0A251XY06
151	A0A1G6M3G3	A0A0J6WNP2	A0A251XY06
152	A0A1H6JT67	A0A0J6WNP2	A0A251XY06
153	A0A0Q0I2G0	A0A0Q0I2G0	A0A7W7M238
154	A0A0Q0MZ83	A0A0Q0I2G0	A0A7W7M238
155	A0A140LA76	A0A140LA76	A0A140LA76
156	A0A165RJI2	A0A165RJI2	A0A4R6R5S4
157	A0A1I7AF27	A0A165RJI2	A0A4R6R5S4
158	A0A165WIQ2	A0A165RJI2	A0A4R6R5S4
159	A0A1H1HVU1	A0A165RJI2	A0A4R6R5S4
160	A0A165WSJ2	A0A165RJI2	A0A4R6R5S4
161	A0A165ZYM6	A0A165RJI2	A0A4R6R5S4
162	A0A1C6T396	A0A1C6T396	A0A7W7M238
163	A0A1D3UTV3	A0A1D3UTV3	A0A1D3UTV3
164	A0A1F2PE33	A0A1F2PE33	
165	A0A1G6AU56	A0A1G6AU56	A0A4R6WH34
166	A0A1G9J0I9	A0A1G9J0I9	A0A1V5W530
167	A0A1H0CDM5	A0A1H0CDM5	A0A7W9ZAP9
168	A0A1H3WA14	A0A1H3WA14	A0A7W7M238
169	A0A1H4F951	A0A1H4F951	A0A285NHK7
170	A0A1T4W7E8	A0A1H4F951	A0A285NHK7
171	A0A1H6FGC2	A0A1H6FGC2	A0A4R6R5S4
172	A0A1I0LRR2	A0A1I0LRR2	A0A1C5A246
173	A0A1I0YXU3	A0A1I0YXU3	A0A4R6LXJ8
174	A0A1I4ASU5	A0A1I4ASU5	A0A7W7M238
175	A0A1I6MIU8	A0A1I6MIU8	A0A4R6WH34
176	A0A7Y9GMJ8	A0A1I6MIU8	A0A4R6WH34
177	A0A1T4KRR3	A0A1T4KRR3	A0A4R6WL96
178	A0A1T5CFA8	A0A1T5CFA8	A0A4R6WH34
179	A0A1G5VEX5	A0A1T5CFA8	A0A4R6WH34
180	A0A1I7IIP9	A0A1T5CFA8	A0A4R6WH34
181	A0A1I7JGQ3	A0A1T5CFA8	A0A4R6WH34
182	A0A1M7SW60	A0A1T5CFA8	A0A4R6WH34
183	A0A1I1H3Z8	A0A1T5CFA8	A0A4R6WH34
184	A0A1G5CFY8	A0A1T5CFA8	A0A4R6WH34
185	A0A1G5EBP7	A0A1T5CFA8	A0A4R6WH34
186	A0A1H5YCB4	A0A1T5CFA8	A0A4R6WH34
187	A0A1I5V0P4	A0A1T5CFA8	A0A4R6WH34
188	A0A1V1V9Z9	A0A1V1V9Z9	A0A1V1V9Z9
189	A0A1V4VV67	A0A1V4VV67	A0A7W7M238
190	A0A1V5BJG9	A0A1V4VV67	A0A7W7M238
191	A0A4Y7RMA2	A0A1V4VV67	A0A7W7M238
192	A0A4Y7S9D2	A0A1V4VV67	A0A7W7M238
193	A0A4Y7R6S7	A0A1V4VV67	A0A7W7M238
194	A0A1V5L083	A0A1V4VV67	A0A7W7M238
195	A0A1V4VSH7	A0A1V4VV67	A0A7W7M238
196	A0A5S4ZPR5	A0A1V4VV67	A0A7W7M238
197	A0A1V5D6V7	A0A1V5D6V7	A0A4V2PSG7
198	A0A1V5E244	A0A1V5D6V7	A0A4V2PSG7
199	A0A1V6IRF9	A0A1V5D6V7	A0A4V2PSG7
200	A0A1V5E6R5	A0A1V5D6V7	A0A4V2PSG7
201	A0A1V4XM26	A0A1V5D6V7	A0A4V2PSG7
202	A0A1V5HUZ6	A0A1V5HUZ6	A0A7W3RPD6
203	A0A1V5KTC7	A0A1V5KTC7	A0A7W7M238
204	A0A1V5NWQ6	A0A1V5NWQ6	A0A259UXB3
205	A0A1V5S1C4	A0A1V5S1C4	A0A1V5S1C4
206	A0A1V5W3X0	A0A1V5W3X0	A0A7W7M238
207	A0A1V6BVZ8	A0A1V6BVZ8	A0A1M5B8R8
208	A0A1V6AN22	A0A1V6BVZ8	A0A1M5B8R8
209	A0A1W1WS14	A0A1W1WS14	A0A1K1XJB1
210	A0A1I5SWA6	A0A1W1WS14	A0A1K1XJB1
211	A0A1Y0HJN1	A0A1W1WS14	A0A1K1XJB1
212	A0A1W5DML3	A0A1W5DML3	A0A1W5DML3
213	A0A653RWQ6	A0A1W5DML3	A0A1W5DML3
214	A0A7S4H515	A0A1W5DML3	A0A1W5DML3
215	A0A1X9MLR2	A0A1X9MLR2	A0A4R6WH34
216	A0A222P0Y9	A0A222P0Y9	A0A7W9ZAP9
217	A0A285MW78	A0A285MW78	A0A7W7M238
218	A0A2N0FTL8	A0A285MW78	A0A7W7M238
219	A0A1K2IRP5	A0A285MW78	A0A7W7M238
220	A0A1M6L1J1	A0A285MW78	A0A7W7M238
221	A0A2A3HJ74	A0A2A3HJ74	A0A1M7JJS6
222	A0A1M6T0M7	A0A2A3HJ74	A0A1M7JJS6
223	A0A2H5XIT9	A0A2H5XIT9	A0A7W7M238
224	A0A2H6ECG4	A0A2H6ECG4	A0A259UPC1
225	A0A1V5TJY3	A0A2H6ECG4	A0A259UPC1
226	A0A2H6ELR4	A0A2H6ECG4	A0A259UPC1
227	A0A2K8SNZ2	A0A2K8SNZ2	A0A2K8SNZ2
228	A0A2P4UPT0	A0A2P4UPT0	A0A0B0HVF0
229	A0A2R4N2C0	A0A2R4N2C0	A0A7W7M238
230	A0A2S6QZ01	A0A2S6QZ01	A0A7W8W7S6
231	A0A2S6UPD0	A0A2S6UPD0	A0A1V5RAV3
232	A0A2T0AZH7	A0A2T0AZH7	A0A3N6HYN0
233	A0A2T4Z445	A0A2T4Z445	A0A839YXT0
234	A0A1G6QT01	A0A2T4Z445	A0A839YXT0
235	A0A2U1CE75	A0A2U1CE75	A0A2H6GRU2
236	A0A6N3AFJ5	A0A2U1CE75	A0A2H6GRU2
237	A0A2W1JR48	A0A2W1JR48	A0A7W6E9T5
238	A0A2W7RF06	A0A2W7RF06	A0A1M5UZ49
239	A0A327PIX1	A0A2W7RF06	A0A1M5UZ49
240	A0A1I0Y6U3	A0A2W7RF06	A0A1M5UZ49
241	A0A1I2RFF8	A0A2W7RF06	A0A1M5UZ49
242	A0A841MLT0	A0A2W7RF06	A0A1M5UZ49
243	A0A3E0E8H5	A0A2W7RF06	A0A1M5UZ49
244	A0A1I6YYB2	A0A2W7RF06	A0A1M5UZ49
245	A0A326RY27	A0A2W7RF06	A0A1M5UZ49
246	A0A4R6TAK9	A0A2W7RF06	A0A1M5UZ49
247	A0A1N6DTB2	A0A2W7RF06	A0A1M5UZ49
248	A0A1G6PPC8	A0A2W7RF06	A0A1M5UZ49
249	A0A1M7Z5D4	A0A2W7RF06	A0A1M5UZ49
250	A0A4Q7PFU5	A0A2W7RF06	A0A1M5UZ49
251	A0A1N7PX39	A0A2W7RF06	A0A1M5UZ49
252	A0A2T0WVT4	A0A2W7RF06	A0A1M5UZ49
253	A0A1W2H8Q2	A0A2W7RF06	A0A1M5UZ49
254	A0A239DBN7	A0A2W7RF06	A0A1M5UZ49
255	A0A1H6ZCX7	A0A2W7RF06	A0A1M5UZ49
256	A0A316DAG3	A0A316DAG3	A0A7W7M238
257	A0A317MZZ0	A0A317MZZ0	A0A1K1XJB1
258	A0A330LHE0	A0A330LHE0	A0A330LHE0
259	A0A366IDA8	A0A366IDA8	A0A1M7RYE3
260	A0A1I3US26	A0A1I3US26	A0A7W9ZAP9
261	A0A8G2C3L8	A0A1I3US26	A0A7W9ZAP9
262	A0A1I6NWX7	A0A1I6NWX7	A0A4R6WH34
263	A0A2V3W9T3	A0A1I6NWX7	A0A4R6WH34
264	A0A1I5SDZ1	A0A1I6NWX7	A0A4R6WH34
265	A0A1J5MXQ8	A0A1J5MXQ8	A0A251XY06
266	A0A1M5L6K7	A0A1M5L6K7	A0A7W7M238
267	A0A1M5SPN0	A0A1M5SPN0	A0A839YXT0
268	A0A1M5YWM0	A0A1M5YWM0	A0A542VZJ6
269	A0A1H3RHY4	A0A1M5YWM0	A0A542VZJ6
270	A0A1M5VB51	A0A1M5YWM0	A0A542VZJ6
271	A0A1M4YYE1	A0A1M5YWM0	A0A542VZJ6
272	A0A1H3AK25	A0A1M5YWM0	A0A542VZJ6
273	A0A4R3KQ95	A0A1M5YWM0	A0A542VZJ6
274	A0A1M6FMW0	A0A1M6FMW0	A0A6N3EI03
275	A0A1M6U705	A0A1M6U705	A0A1K1XJB1
276	A0A1T4LHD5	A0A1T4LHD5	A0A542VZJ6
277	A0A1T4W4F5	A0A1T4W4F5	A0A251XY06
