	mmseqs_cluster	unclustered	foldseek_cluster	mmseqs_unclustered
0	A0A0B8XNQ7	A0A0B8XNQ7	A0A0B0HVF0	A0A0B8XNQ7
1	A0A0G1JBJ2	A0A0G1JBJ2	A4SWU3	A0A0G1JBJ2
2	A0A0G1JBJ2	A0A0G1Q852	A4SWU3	A0A0G1JBJ2
3	A0A0J1ISN8	A0A0J1ISN8	A0A259UPC1	A0A0J1ISN8
4	A0A0P9GGU0	A0A0P9GGU0	A0A840V6T9	A0A0P9GGU0
5	A0A0X3ANW3	A0A0X3ANW3	A0A2H6GRU2	A0A0X3ANW3
6	A0A136WFC8	A0A136WFC8	A0A7W7M238	A0A136WFC8
7	A0A136WFC8	A0A0X1U882	A0A7W7M238	A0A136WFC8
8	A0A143XQ49	A0A143XQ49	A0A143XQ49	A0A143XQ49
9	A0A164C0Q4	A0A164C0Q4	A0A4R6WH34	A0A164C0Q4
10	A0A177W3U0	A0A177W3U0	A0A1K1XJB1	A0A177W3U0
11	A0A1B3JEG5	A0A1B3JEG5	A0A1B3JEG5	A0A1B3JEG5
12	A0A1B3JEG5	A0A1W1UM86	A0A1B3JEG5	A0A1B3JEG5
13	A0A1C4HZC6	A0A1C4HZC6	A0A7X0L4Z6	A0A1C4HZC6
14	A0A1E3GX92	A0A1E3GX92	A0A1E3GX92	A0A1E3GX92
15	A0A1G6WIN9	A0A1G6WIN9	A0A1I1ZHQ3	A0A1G6WIN9
16	A0A1G7W3D6	A0A1G7W3D6	A0A7W7M238	A0A1G7W3D6
17	A0A1G8QSR2	A0A1G8QSR2	A0A2H6GRU2	A0A1G8QSR2
18	A0A1G9EUX2	A0A1G9EUX2	A0A7W7M238	A0A1G9EUX2
19	A0A1G9RCN5	A0A1G9RCN5	A0A4R6LXJ8	A0A1G9RCN5
20	A0A1G9RCN5	A0A1N7J1G3	A0A4R6LXJ8	A0A1G9RCN5
21	A0A1G9ZL33	A0A1G9ZL33	A0A1M5FCY0	A0A1G9ZL33
22	A0A1G9ZL33	A0A1G9ZEK9	A0A1M5FCY0	A0A1G9ZL33
23	A0A1H3JTN6	A0A1H3JTN6	A0A7X0L4Z6	A0A1H3JTN6
24	A0A1H3JTN6	A0A2A9KNC8	A0A7X0L4Z6	A0A1H3JTN6
25	A0A1H3JTN6	A0A840RNU9	A0A7X0L4Z6	A0A1H3JTN6
26	A0A1H3JTN6	A0A1I1DFS8	A0A7X0L4Z6	A0A1H3JTN6
27	A0A1H3SNW3	A0A1H3SNW3	A0A841H5D1	A0A1H3SNW3
28	A0A1H4CX24	A0A1H4CX24	A0A7W7M238	A0A1H4CX24
29	A0A1H4CX24	A0A1H3J210	A0A7W7M238	A0A1H4CX24
30	A0A1H4CX24	A0A6N3FH60	A0A7W7M238	A0A1H4CX24
31	A0A1H4CX24	A0A317S1E5	A0A7W7M238	A0A1H4CX24
32	A0A1H4CX24	A0A1H0WC45	A0A7W7M238	A0A1H4CX24
33	A0A1H6BPP3	A0A1H6BPP3	A0A1W1YNH7	A0A1H6BPP3
34	A0A1H6BPP3	A0A1I2DKU1	A0A1W1YNH7	A0A1H6BPP3
35	A0A1H6BPP3	A0A1H8MLB6	A0A1W1YNH7	A0A1H6BPP3
36	A0A1H6BPP3	A0A1M6U233	A0A1W1YNH7	A0A1H6BPP3
37	A0A1H7BMM3	A0A1H7BMM3	A0A4R3YH71	A0A1H7BMM3
38	A0A1H7BMM3	A0A1G8EIS6	A0A4R3YH71	A0A1H7BMM3
39	A0A1H7BMM3	A0A1H1XFZ1	A0A4R3YH71	A0A1H7BMM3
40	A0A1H7BMM3	A0A1I4B3R2	A0A4R3YH71	A0A1H7BMM3
41	A0A1H7BMM3	A0A1H2F1M2	A0A4R3YH71	A0A1H7BMM3
42	A0A1H7BMM3	A0A1I5UJ82	A0A4R3YH71	A0A1H7BMM3
43	A0A1H7BMM3	A0A1M5SZX1	A0A4R3YH71	A0A1H7BMM3
44	A0A1H7BMM3	A0A1H0ZHG1	A0A4R3YH71	A0A1H7BMM3
45	A0A1H7BMM3	A0A0B7DKI8	A0A4R3YH71	A0A1H7BMM3
46	A0A1H7BMM3	A0A1I0U0U7	A0A4R3YH71	A0A1H7BMM3
47	A0A1H7BMM3	A0A2N7R589	A0A4R3YH71	A0A1H7BMM3
