	unclustered	mmseqs_cluster	foldseek_cluster
0	A0A939XBN5	A0A132I377	A0A3N5BAA3
1	A0A9D8NA61	A0A132I377	A0A3N5BAA3
2	A0A7V6IMH1	A0A132I377	A0A3N5BAA3
3	A0A2N2XVR4	A0A132I377	A0A3N5BAA3
4	A0A939TX84	A0A132I377	A0A3N5BAA3
5	A0A7V6G4K2	A0A132I377	A0A3N5BAA3
6	A0A1H4BDW4	A0A1H4BDW4	A0A7V6BFC3
7	UPI0004A6BCF5	A0A1H4BDW4	A0A7V6BFC3
8	A0A1Q6Q1K0	A0A1Q6Q1K0	A0A1Q6Q1K0
9	A0A1V4QWF6	A0A1V4QWF6	A0A3N5BAA3
10	UPI001379B78B	UPI001379B78B	
11	UPI00068F8D4B	UPI001379B78B	
12	UPI0016821498	UPI0016821498	
13	UPI001E3D3063	UPI001E3D3063	
14	UPI001F0A3740	UPI001F0A3740	
15	UPI001FA8EB1A	UPI001FA8EB1A	
16	A0A1Y4HBR0	UPI001FA8EB1A	
17	A0A971SZ05	UPI001FA8EB1A	
18	A0A9D2M289	UPI001FA8EB1A	
19	A0A970CSA5	UPI001FA8EB1A	
20	A0A923IAS5	UPI001FA8EB1A	
21	UPI0002EFDD3A	UPI001FA8EB1A	
22	UPI001FC81EE4	UPI001FA8EB1A	
23	UPI001FC84D9B	UPI001FA8EB1A	
24	UPI001FA9EBB1	UPI001FA8EB1A	
25	A0A0W7TL79	UPI001FA8EB1A	
26	UPI000C7CB941	UPI001FA8EB1A	
27	A0A6I3QQS3	UPI001FA8EB1A	
28	UPI002096D8B6	UPI001FA8EB1A	
29	A0A2V2FRI0	UPI001FA8EB1A	
30	A0A943DEE6	UPI001FA8EB1A	
31	UPI0011C925AC	UPI001FA8EB1A	
32	A0A6N8H653	UPI001FA8EB1A	
33	UPI001D0E4E20	UPI001FA8EB1A	
34	D1PLD8	UPI001FA8EB1A	
35	A0A948T265	UPI001FA8EB1A	
36	A0A1Y4IX41	UPI001FA8EB1A	
37	UPI002108F025	UPI001FA8EB1A	
38	UPI001959ACFB	UPI001FA8EB1A	
39	A0A1Q6SXR8	UPI001FA8EB1A	
40	UPI0024322545	UPI001FA8EB1A	
41	A0A1Y3S035	UPI001FA8EB1A	
42	A0A353BNQ2	UPI001FA8EB1A	
43	A0A9D1V4M1	UPI001FA8EB1A	
44	A0A348SY61	UPI001FA8EB1A	
45	A0A3D1PT09	UPI001FA8EB1A	
46	A0A357TNY9	UPI001FA8EB1A	
47	UPI00242C942F	UPI001FA8EB1A	
48	A0A316PMT0	UPI001FA8EB1A	
49	A0A9D2JGE3	UPI001FA8EB1A	
50	A0A1T4WTZ6	UPI001FA8EB1A	
51	A0A1Y3XLL5	UPI001FA8EB1A	
52	A0A9D2E345	UPI001FA8EB1A	
53	A0A9D2ESJ8	UPI001FA8EB1A	
54	A0A921IKY3	UPI001FA8EB1A	
55	UPI001875900F	UPI001FA8EB1A	
56	UPI001B6DD5F8	UPI001FA8EB1A	
57	A0A3D2AG28	UPI001FA8EB1A	
58	A0A9D1XZ19	UPI001FA8EB1A	
59	A0A9D2FIK8	UPI001FA8EB1A	
60	A0A970W807	UPI001FA8EB1A	
61	A0A9E5G6Z8	UPI001FA8EB1A	
62	A0A1Y4TDU7	UPI001FA8EB1A	
63	UPI001FA90833	UPI001FA8EB1A	
64	UPI001F3A2F41	UPI001FA8EB1A	
65	A0A4R1R1C8	UPI001FA8EB1A	
66	A0A1Q6QTX4	UPI001FA8EB1A	
67	UPI001D0DD13C	UPI001FA8EB1A	
68	A0A1Q6QH15	UPI001FA8EB1A	
69	A0A3E2UA78	UPI001FA8EB1A	
70	A0A9D1TVB2	UPI001FA8EB1A	
71	A0A3E2W8L0	UPI001FA8EB1A	
72	UPI001DB33DE2	UPI001FA8EB1A	
73	A0A9E2NPT6	UPI001FA8EB1A	
74	UPI00095E720F	UPI001FA8EB1A	
75	A0A2A6Z865	UPI001FA8EB1A	
76	A0A2A6ZG56	UPI001FA8EB1A	
77	A0A2A7B5U7	UPI001FA8EB1A	
78	UPI001EE3719D	UPI001FA8EB1A	
79	A0A173RBK7	UPI001FA8EB1A	
80	A0A1Y3U462	UPI001FA8EB1A	
81	A0A9D2S691	UPI001FA8EB1A	
82	A0A1Y3WUB5	UPI001FA8EB1A	
83	A0A173Y8C8	UPI001FA8EB1A	
84	A0A1Y4T9D7	UPI001FA8EB1A	
85	A0A9D2T2K0	UPI001FA8EB1A	
86	A0A329TRV0	UPI001FA8EB1A	
87	A0A329U1X3	UPI001FA8EB1A	
88	UPI001B25F7D5	UPI001FA8EB1A	
89	A0A9D2FHY0	UPI001FA8EB1A	
90	UPI0020BF584E	UPI0020BF584E	
91	UPI000931813B	UPI0020BF584E	
92	A0A970NKD1	A0A970NKD1	
93	A0A9D6FQ05	A0A9D6FQ05	
94	D4LUU4	D4LUU4	D4LUU4
95	UPI0003B37002	UPI0003B37002	
96	UPI00068E4936	UPI0003B37002	
97	UPI00046D8B3A	UPI0003B37002	
98	A0A7X7XSN4	A0A7X7XSN4	A0A3N5BAA3
99	A0A9C7YSP1	A0A7X7XSN4	A0A3N5BAA3
100	A0A661WZS1	A0A7X7XSN4	A0A3N5BAA3
101	A0A920T7D6	A0A920T7D6	
102	A0A927NSA0	A0A927NSA0	
103	UPI002016020C	A0A927NSA0	
104	A0A926DIR1	A0A927NSA0	
105	A0A943XTT1	A0A927NSA0	
106	A0A358ARK3	A0A927NSA0	
107	A0A136Q613	A0A927NSA0	
108	UPI0009ED98FE	A0A927NSA0	
109	A0A0M2NKJ5	A0A927NSA0	
110	UPI001A9C026D	A0A927NSA0	
111	UPI0009F6257C	A0A927NSA0	
112	A0A9E5STH0	A0A927NSA0	
113	A0A7C4B2G0	A0A927NSA0	
114	A0A928QEY4	A0A928QEY4	
115	A0A932D3S5	A0A932D3S5	
