Unnamed: 0	ld_carboxypeptidase-unclustered	ld_carboxypeptidase-mmseqs_cluster	ld_carboxypeptidase-foldseek_cluster
0	A0A964YMG5	A0A964YMG5	
1	A0A969WWE3	A0A7X8WLE8	A0A7X8WLE8
2	A0A7X8WLE8	A0A7X8WLE8	A0A7X8WLE8
3	E0RLM3	E0RLM3	A0A2E9X5T2
4	S5LZK0	S5LZK0	A0A3E3E572
5	A0A2U3L4E8	A0A2U3L4E8	A0A5C1Q7L6
6	A0A2W4SH76	A0A2W4SH76	A0A3E3E572
7	UPI001A98467C	A0A2W4SH76	A0A3E3E572
8	UPI001AE788E1	A0A2W4SH76	A0A3E3E572
9	A0A2Z6IB15	A0A2Z6IB15	A0A844GDF8
10	A0A350WYD7	A0A350WYD7	A0A6A0IMM5
11	UPI0006C0EF90	A0A350WYD7	A0A6A0IMM5
12	UPI00211599C2	A0A350WYD7	A0A6A0IMM5
13	A0A173THH4	A0A350WYD7	A0A6A0IMM5
14	UPI001E4D960F	A0A350WYD7	A0A6A0IMM5
15	A0A6G2CEY7	A0A350WYD7	A0A6A0IMM5
16	UPI001E57E166	A0A350WYD7	A0A6A0IMM5
17	UPI00137B10B2	A0A350WYD7	A0A6A0IMM5
18	UPI0021701C8A	A0A350WYD7	A0A6A0IMM5
19	UPI001F4323C5	A0A350WYD7	A0A6A0IMM5
20	UPI001FFF01A6	A0A350WYD7	A0A6A0IMM5
21	A0A3B8J9L6	A0A3B8J9L6	A0A3E3E572
22	A0A3C2EJD3	A0A3B8J9L6	A0A3E3E572
23	UPI002025A088	A0A3B8J9L6	A0A3E3E572
24	A0A7X8R8Q5	A0A3B8J9L6	A0A3E3E572
25	A0A3E4U4H2	A0A3B8J9L6	A0A3E3E572
26	UPI001F5905C9	A0A3B8J9L6	A0A3E3E572
27	A0A173WTA2	A0A3B8J9L6	A0A3E3E572
28	A0A374P9J9	A0A3B8J9L6	A0A3E3E572
29	UPI000F52D738	A0A3B8J9L6	A0A3E3E572
30	A0A8J7KVD0	A0A3B8J9L6	A0A3E3E572
31	A0A844J1H3	A0A3B8J9L6	A0A3E3E572
32	A0A3E2NDH8	A0A3B8J9L6	A0A3E3E572
33	UPI000CEC7FB7	A0A3B8J9L6	A0A3E3E572
34	A0A3C0BHE2	A0A3B8J9L6	A0A3E3E572
35	UPI0011DD210D	A0A3B8J9L6	A0A3E3E572
36	UPI000D6C6F91	A0A3B8J9L6	A0A3E3E572
37	A0A1E3AEH8	A0A3B8J9L6	A0A3E3E572
38	UPI000472C135	A0A3B8J9L6	A0A3E3E572
39	A0A3A6HV35	A0A3B8J9L6	A0A3E3E572
40	R7ES16	A0A3B8J9L6	A0A3E3E572
41	A0A3D1X7Y2	A0A3B8J9L6	A0A3E3E572
42	A0A3D0Y2A6	A0A3D0Y2A6	A0A660MZL1
43	A0A3D4FQE6	A0A3D4FQE6	A0A401YQJ4
44	A0A3M1FU87	A0A3M1FU87	A0A2C6E889
45	A0A402BQW1	A0A402BQW1	A0A1V5X6T1
46	A0A4P5YFV9	A0A4P5YFV9	A0A4P5YFV9
47	A0A4R1R9G5	A0A4R1R9G5	A0A7U4WW17
48	A0A316N6C9	A0A316N6C9	A0A2C6E889
49	R5YTA6	A0A316N6C9	A0A2C6E889
50	R7F2T6	A0A316N6C9	A0A2C6E889
51	R6Y3Q0	A0A316N6C9	A0A2C6E889
52	R7P4V8	A0A316N6C9	A0A2C6E889
53	R7IJV3	A0A316N6C9	A0A2C6E889
54	A0A327WZN5	A0A327WZN5	A0A317QD51
55	A0A380BQR4	A0A380BQR4	A0A7X8WLE8
56	A0A3A4XP68	A0A3A4XP68	A0A2C6E889
57	A0A975B4D5	A0A3A4XP68	A0A2C6E889
58	UPI001FF483A9	A0A3A4XP68	A0A2C6E889
59	A0A849EZH2	A0A3A4XP68	A0A2C6E889
60	UPI0013792703	A0A3A4XP68	A0A2C6E889
61	A0A3B8LV17	A0A3B8LV17	A0A7X7FE45
63	A0A3D5KFE7	A0A3D5KFE7	
64	A0A3L7XIJ4	A0A3L7XIJ4	A0A3E3E572
65	A0A3L7XTM2	A0A3L7XIJ4	A0A3E3E572
66	A0A3L7XWP2	A0A3L7XIJ4	A0A3E3E572
67	A0A3L7YBB6	A0A3L7XIJ4	A0A3E3E572
68	A0A3L7YBY4	A0A3L7XIJ4	A0A3E3E572
69	A0A3L7YWI4	A0A3L7XIJ4	A0A3E3E572
70	A0A965BC05	A0A3L7XIJ4	A0A3E3E572
71	A0A966SRL3	A0A3L7XIJ4	A0A3E3E572
72	A0A3M1JPE5	A0A3M1JPE5	A0A2C6E889
73	A0A1Z8Z7X0	A0A3M1JPE5	A0A2C6E889
74	A0A945VIZ1	A0A3M1JPE5	A0A2C6E889
75	A0A520W012	A0A3M1JPE5	A0A2C6E889
76	A0A1Z9NEJ9	A0A3M1JPE5	A0A2C6E889
77	A0A2E4MCK2	A0A3M1JPE5	A0A2C6E889
78	A0A2D9J9H3	A0A3M1JPE5	A0A2C6E889
79	A0A2E1NE29	A0A3M1JPE5	A0A2C6E889
80	A0A2E5Y148	A0A3M1JPE5	A0A2C6E889
