Unnamed: 0	glucosaminidase-unclustered	glucosaminidase-mmseqs_cluster	glucosaminidase-foldseek_cluster
0	D7VR40	A0A380CQR0	A0A318MMB0
1	A0A2Z5VGL1	A0A380CQR0	A0A318MMB0
3	A0A3C1VCU0	A0A3C1VCU0	R6JF01
4	A0A3D3DHY8	A0A3C1VCU0	R6JF01
5	A0A424PX64	A0A424PX64	A0A7C1VDL4
6	A0A3D4CB56	A0A424PX64	A0A7C1VDL4
7	A0A448K917	A0A448K917	A0A174D5Y6
8	A0A4R1R1X6	A0A4R1R1X6	
9	A0A4Y1WNN4	A0A4Y1WNN4	A0A318MMB0
10	A0A524NIR7	A0A524NIR7	R6JF01
11	A0A5M4AQY9	A0A5M4AQY9	A0A7C1VDL4
12	A0A5M4AJF1	A0A5M4AQY9	A0A7C1VDL4
13	A0A5M4B094	A0A5M4AQY9	A0A7C1VDL4
14	A0A662ZIU7	A0A662ZIU7	A0A6J4WMC2
15	UPI0006899343	A0A662ZIU7	A0A6J4WMC2
16	UPI001C94BAA6	UPI001C94BAA6	
17	UPI001BAF64F4	UPI001BAF64F4	
18	UPI0021A3AD4F	UPI0021A3AD4F	
19	UPI001CD31810	UPI001CD31810	
20	UPI0021CB024D	UPI0021CB024D	
21	UPI001EDE5769	UPI001EDE5769	
22	UPI001EDFC541	UPI001EDFC541	
23	UPI0012BD737C	UPI0012BD737C	
24	UPI001F62357E	UPI001F62357E	
25	UPI0021B562D1	UPI0021B562D1	
26	UPI002244FC67	UPI002244FC67	
27	UPI0022AB15F3	UPI0022AB15F3	
28	UPI001E5BC718	UPI001E5BC718	
29	UPI001319DD27	UPI001319DD27	
30	UPI00224CF58E	J1SCA5	T1WGN1
31	UPI0008E92AE8	J1SCA5	T1WGN1
32	UPI0016711A7A	J1SCA5	T1WGN1
33	UPI0004CC6BA4	J1SCA5	T1WGN1
34	UPI0021A28889	J1SCA5	T1WGN1
35	UPI002253F016	J1SCA5	T1WGN1
36	UPI00223ED73D	J1SCA5	T1WGN1
37	UPI0004C60FCC	J1SCA5	T1WGN1
38	UPI001927EACC	J1SCA5	T1WGN1
39	UPI00207D3946	J1SCA5	T1WGN1
40	UPI00225C224F	J1SCA5	T1WGN1
41	UPI001942D017	J1SCA5	T1WGN1
42	UPI0016757FBA	J1SCA5	T1WGN1
43	UPI000F54EBE1	J1SCA5	T1WGN1
44	UPI001925B61E	J1SCA5	T1WGN1
45	UPI0021C81565	J1SCA5	T1WGN1
46	UPI002251CE95	J1SCA5	T1WGN1
47	UPI0005259970	J1SCA5	T1WGN1
48	UPI0011DFB361	J1SCA5	T1WGN1
49	UPI0004C52E97	J1SCA5	T1WGN1
50	UPI000B9E00B0	J1SCA5	T1WGN1
51	UPI0020209299	J1SCA5	T1WGN1
52	UPI001F164F51	J1SCA5	T1WGN1
53	UPI001C4331A3	J1SCA5	T1WGN1
54	A0A978AFQ5	J1SCA5	T1WGN1
55	UPI0009822311	J1SCA5	T1WGN1
56	UPI0010103FDA	J1SCA5	T1WGN1
57	UPI00224F60F5	J1SCA5	T1WGN1
58	UPI001EE7411C	J1SCA5	T1WGN1
59	UPI00203552C5	J1SCA5	T1WGN1
60	J1SCA5	J1SCA5	T1WGN1
61	UPI0008985642	J1SCA5	T1WGN1
62	UPI001FCBA77C	J1SCA5	T1WGN1
63	UPI00089C7CFF	J1SCA5	T1WGN1
64	UPI00110FF87E	J1SCA5	T1WGN1
65	UPI0016761209	J1SCA5	T1WGN1
66	UPI00110FAC58	J1SCA5	T1WGN1
67	UPI00110FBF55	J1SCA5	T1WGN1
68	UPI000B887E04	J1SCA5	T1WGN1
69	A0A944FIM7	J1SCA5	T1WGN1
70	A0A944PU48	J1SCA5	T1WGN1
71	UPI001BE9F889	J1SCA5	T1WGN1
72	A0A939F5G0	J1SCA5	T1WGN1
73	UPI0019D2BCCF	J1SCA5	T1WGN1
74	UPI001F5E1341	J1SCA5	T1WGN1
75	UPI0020352CA4	J1SCA5	T1WGN1
76	A0A944E2S3	J1SCA5	T1WGN1
77	A0A974B0Q8	J1SCA5	T1WGN1
78	UPI00086980DC	J1SCA5	T1WGN1
79	A0A944KYA3	J1SCA5	T1WGN1
80	UPI00048E0E36	J1SCA5	T1WGN1
81	UPI00056ACA05	J1SCA5	T1WGN1
82	UPI002024B667	J1SCA5	T1WGN1
83	UPI00098F62E0	J1SCA5	T1WGN1
84	UPI0011CDCA1A	J1SCA5	T1WGN1
85	UPI001F29E98A	J1SCA5	T1WGN1
86	UPI001CEC5066	J1SCA5	T1WGN1
87	UPI00210B4718	J1SCA5	T1WGN1
