	mmseqs_cluster	unclustered	foldseek_cluster	mmseqs_unclustered
0	A0A380CQR0	D7VR40	A0A1T3DQC7	A0A380CQR0
1	A0A380CQR0	A0A2Z5VGL1	A0A1T3DQC7	A0A380CQR0
2	A0A381IY80	A0A381IY80	A0A381IY80	A0A381IY80
3	A0A3C1VCU0	A0A3C1VCU0	R6JF01	A0A3C1VCU0
4	A0A3C1VCU0	A0A3D3DHY8	R6JF01	A0A3C1VCU0
5	A0A424PX64	A0A424PX64	A0A7C1VDL4	A0A424PX64
6	A0A424PX64	A0A3D4CB56	A0A7C1VDL4	A0A424PX64
7	A0A448K917	A0A448K917	A0A174D5Y6	A0A448K917
8	A0A4R1R1X6	A0A4R1R1X6		
9	A0A4Y1WNN4	A0A4Y1WNN4	A0A0S2DKP3	A0A4Y1WNN4
10	A0A524NIR7	A0A524NIR7	R6JF01	A0A524NIR7
11	A0A5M4AQY9	A0A5M4AQY9	A0A7C1VDL4	A0A5M4AQY9
12	A0A5M4AQY9	A0A5M4AJF1	A0A7C1VDL4	A0A5M4AQY9
13	A0A5M4AQY9	A0A5M4B094	A0A7C1VDL4	A0A5M4AQY9
14	A0A662ZIU7	A0A662ZIU7	A0A7W0UEX7	A0A662ZIU7
15	A0A662ZIU7	UPI0006899343	A0A7W0UEX7	A0A662ZIU7
16	UPI001C94BAA6	UPI001C94BAA6		
17	UPI001C94BAA6	UPI001BAF64F4		
18	UPI001C94BAA6	UPI0021A3AD4F		
19	UPI001CD31810	UPI001CD31810		
20	UPI001CD31810	UPI0021CB024D		
21	UPI001EDE5769	UPI001EDE5769		
22	UPI001EDE5769	UPI001EDFC541		
23	UPI001EDE5769	UPI0012BD737C		
24	UPI001F62357E	UPI001F62357E		
25	UPI0021B562D1	UPI0021B562D1		
26	UPI002244FC67	UPI002244FC67		
27	UPI002244FC67	UPI0022AB15F3		
28	UPI002244FC67	UPI001E5BC718		
29	UPI002244FC67	UPI001319DD27		
30	UPI00224CF58E	UPI00224CF58E		
31	UPI00224CF58E	UPI0008E92AE8		
32	UPI00224CF58E	UPI0016711A7A		
33	UPI00224CF58E	UPI0004CC6BA4		
34	UPI00224CF58E	UPI0021A28889		
35	UPI00224CF58E	UPI002253F016		
36	UPI00224CF58E	UPI00223ED73D		
37	UPI00224CF58E	UPI0004C60FCC		
38	UPI00224CF58E	UPI001927EACC		
39	UPI00224CF58E	UPI00207D3946		
40	UPI00224CF58E	UPI00225C224F		
41	UPI00224CF58E	UPI001942D017		
42	UPI00224CF58E	UPI0016757FBA		
43	UPI00224CF58E	UPI000F54EBE1		
44	UPI00224CF58E	UPI001925B61E		
45	UPI00224CF58E	UPI0021C81565		
46	UPI00224CF58E	UPI002251CE95		
47	UPI00224CF58E	UPI0005259970		
48	UPI00224CF58E	UPI0011DFB361		
49	UPI00224CF58E	UPI0004C52E97		
50	UPI00224CF58E	UPI000B9E00B0		
51	UPI00224CF58E	UPI0020209299		
52	UPI00224CF58E	UPI001F164F51		
53	UPI00224CF58E	UPI001C4331A3		
54	UPI00224CF58E	A0A978AFQ5		
55	UPI00224CF58E	UPI0009822311		
56	UPI00224CF58E	UPI0010103FDA		
57	UPI00224CF58E	UPI00224F60F5		
58	UPI00224CF58E	UPI001EE7411C		
59	UPI00224CF58E	UPI00203552C5		
60	UPI00224CF58E	J1SCA5		
61	UPI00224CF58E	UPI0008985642		
62	UPI00224CF58E	UPI001FCBA77C		
63	UPI00224CF58E	UPI00089C7CFF		
64	UPI00224CF58E	UPI00110FF87E		
65	UPI00224CF58E	UPI0016761209		
66	UPI00224CF58E	UPI00110FAC58		
67	UPI00224CF58E	UPI00110FBF55		
68	UPI00224CF58E	UPI000B887E04		
69	UPI00224CF58E	A0A944FIM7		
70	UPI00224CF58E	A0A944PU48		
71	UPI00224CF58E	UPI001BE9F889		
72	UPI00224CF58E	A0A939F5G0		
73	UPI00224CF58E	UPI0019D2BCCF		
74	UPI00224CF58E	UPI001F5E1341		
75	UPI00224CF58E	UPI0020352CA4		
76	UPI00224CF58E	A0A944E2S3		
77	UPI00224CF58E	A0A974B0Q8		
78	UPI00224CF58E	UPI00086980DC		
79	UPI00224CF58E	A0A944KYA3		
80	UPI00224CF58E	UPI00048E0E36		
81	UPI00224CF58E	UPI00056ACA05		
82	UPI00224CF58E	UPI002024B667		
83	UPI00224CF58E	UPI00098F62E0		
84	UPI00224CF58E	UPI0011CDCA1A		
85	UPI00224CF58E	UPI001F29E98A		
86	UPI00224CF58E	UPI001CEC5066		
87	UPI00224CF58E	UPI00210B4718		
88	UPI00224CF58E	UPI001A9F1862		
89	UPI00224CF58E	UPI00191DB148		
90	UPI00224CF58E	UPI0021D9E0C6		
91	UPI00224CF58E	UPI001FE48472		
92	UPI00224CF58E	UPI001F24467F		
93	V7I362	V7I362	A0A1C5M470	V7I362
94	A0A076IRD5	A0A076IRD5	R6JF01	A0A076IRD5
95	A0A076IRD5	A0A4S2FF65	R6JF01	A0A076IRD5
96	A0A076IRD5	A0A415BSC7	R6JF01	A0A076IRD5
97	A0A076IRD5	A0A412YZU9	R6JF01	A0A076IRD5
98	A0A076IRD5	A0A4Q5HME9	R6JF01	A0A076IRD5
99	A0A076IRD5	A0A413GT04	R6JF01	A0A076IRD5
100	A0A0B8T5M5	A0A0B8T5M5	A0A1T3DQC7	A0A0B8T5M5
101	A0A0F0LNK3	A0A0F0LNK3	A0A0F0LNK3	A0A0F0LNK3
102	A0A0F0LNK3	A0A942D9I4	A0A0F0LNK3	A0A0F0LNK3
103	A0A0F0LNK3	UPI001CBCC6D5	A0A0F0LNK3	A0A0F0LNK3
104	A0A0F0LNK3	UPI0015E2CA45	A0A0F0LNK3	A0A0F0LNK3
105	A0A0F0LNK3	UPI0015E340A2	A0A0F0LNK3	A0A0F0LNK3
106	A0A0F0LNK3	UPI0015F29562	A0A0F0LNK3	A0A0F0LNK3
107	A0A135YVG0	A0A135YVG0	A0A1H9CDL0	A0A135YVG0
108	A0A135YVG0	E8JRT6	A0A1H9CDL0	A0A135YVG0
109	A0A143WW55	A0A143WW55	A0A4R3Z5L2	A0A143WW55
110	A0A1B8VTK8	A0A1B8VTK8		
111	A0A1C6D969	A0A1C6D969	C0GIC8	A0A1C6D969
112	A0A1D4PPZ9	A0A1D4PPZ9	A0A1D4PPZ9	A0A1D4PPZ9
113	A0A1D4PPZ9	A0A659ZYG1	A0A1D4PPZ9	A0A1D4PPZ9
114	A0A1D4PPZ9	A0A8G2M9E4	A0A1D4PPZ9	A0A1D4PPZ9
115	A0A1D4PPZ9	A0A830Z3T1	A0A1D4PPZ9	A0A1D4PPZ9
116	A0A1D4PPZ9	A0A0U1MI09	A0A1D4PPZ9	A0A1D4PPZ9
117	UPI0021ABE271	UPI0021ABE271		
118	UPI0021ABE271	A0A921MRD8		
119	UPI00227E0CD3	UPI00227E0CD3		
120	W4TE41	W4TE41	W4TE41	W4TE41
121	A0A0C1QVE0	A0A0C1QVE0	S6EJE2	A0A0C1QVE0
122	A0A0G1CCK5	A0A0G1CCK5	A0A0G1CCK5	A0A0G1CCK5
123	A0A0Q0SCA9	A0A0Q0SCA9	A0A1C5L9S3	A0A0Q0SCA9
124	A0A0Q0SCA9	A5FIA4	A0A1C5L9S3	A0A0Q0SCA9
125	A0A0R1VZU4	A0A0R1VZU4	A0A0R1VZU4	A0A0R1VZU4
126	A0A0T9A9H7	A0A0T9A9H7	A0A0T9A9H7	A0A0T9A9H7
127	A0A174L247	A0A174L247	A0A1T3DQC7	A0A174L247
128	A0A174L247	R6E5V5	A0A1T3DQC7	A0A174L247
129	A0A1E5XWM9	A0A1E5XWM9	A0A561VCP0	A0A1E5XWM9
130	A0A1E5XWM9	UPI0006D837A3	A0A561VCP0	A0A1E5XWM9
131	A0A1E5XWM9	A0A4Q3GDC6	A0A561VCP0	A0A1E5XWM9
132	A0A1E5XWM9	A0A0Q7E2D6	A0A561VCP0	A0A1E5XWM9
133	A0A1E5XWM9	A0A8I1QJ77	A0A561VCP0	A0A1E5XWM9
134	A0A1E5XWM9	A0A3N2R5W8	A0A561VCP0	A0A1E5XWM9
135	A0A1E5XWM9	UPI00040E2082	A0A561VCP0	A0A1E5XWM9
136	A0A1E5XWM9	UPI001E5AF09A	A0A561VCP0	A0A1E5XWM9
137	A0A1E5XWM9	UPI0019048883	A0A561VCP0	A0A1E5XWM9
138	A0A1E5XWM9	A0A6G6WN69	A0A561VCP0	A0A1E5XWM9
139	A0A1G4P7Q2	A0A1G4P7Q2	A0A1H9CDL0	A0A1G4P7Q2
140	A0A1H2LC96	A0A1H2LC96	A0A1H2LC96	A0A1H2LC96
141	A0A1H7DAU2	A0A1H7DAU2	A0A1W1VP43	A0A1H7DAU2
142	A0A1I0A2R1	A0A1I0A2R1	A0A4R2LZN7	A0A1I0A2R1
143	A0A1I6IRS3	A0A1I6IRS3	A0A379CH65	A0A1I6IRS3
144	A0A1I6IRS3	A0A1H9YX37	A0A379CH65	A0A1I6IRS3
145	A0A1M6M7F5	A0A1M6M7F5	A0A1M6M7F5	A0A1M6M7F5
146	A0A1Q2HQL9	A0A1Q2HQL9	A0A1H9CDL0	A0A1Q2HQL9
147	A0A1Q2HQL9	A0A1W6LL31	A0A1H9CDL0	A0A1Q2HQL9
148	A0A1S8R750	A0A1S8R750	A0A1V4IRF8	A0A1S8R750
149	A0A1S8R750	A0A1S8PYZ5	A0A1V4IRF8	A0A1S8R750
150	A0A1V4RG56	A0A1V4RG56	A0A1V4RG56	A0A1V4RG56
151	A0A1V4RG56	A0A2G6LTJ6	A0A1V4RG56	A0A1V4RG56
152	A0A1Y6K086	A0A1Y6K086	A0A1Y6K086	A0A1Y6K086
153	A0A257LDB7	A0A257LDB7	A0A7C1VDL4	A0A257LDB7
154	A0A288QX83	A0A288QX83	A0A0B4WBQ7	A0A288QX83
155	UPI001958AD79	UPI001958AD79		
156	UPI001B0D9F61	UPI001B0D9F61		
157	UPI001B0D9F61	A0A5P2X225		
158	UPI001FABBA2B	UPI001FABBA2B		
159	UPI001FABBA2B	UPI001EDE0C6A		
160	UPI002114BAEE	UPI002114BAEE		
161	UPI002114BAEE	UPI00131C3E04		
162	UPI002114BAEE	UPI001EDC9F82		
163	UPI002114BAEE	UPI001F1D0F40		
164	A0A3E0AYB9	A0A3E0AYB9	A0A2T6K1D7	A0A3E0AYB9
165	A0A3E0AYB9	A0A1G8X8S9	A0A2T6K1D7	A0A3E0AYB9
166	A0A3E0AYB9	A0A840QVC3	A0A2T6K1D7	A0A3E0AYB9
167	A0A3E0AYB9	A0A1G9BS17	A0A2T6K1D7	A0A3E0AYB9
168	A0A3E0AYB9	A0A285UNE6	A0A2T6K1D7	A0A3E0AYB9
169	A0A3E0AYB9	A0A1M7E7I9	A0A2T6K1D7	A0A3E0AYB9
170	A0A3P1CEI8	A0A3P1CEI8	R6JF01	A0A3P1CEI8
171	A0A3P1CEI8	A0A368JVF0	R6JF01	A0A3P1CEI8
172	A0A3P1CEI8	A0A3P1BMF0	R6JF01	A0A3P1CEI8
173	A0A3P1CEI8	A0A964YHK3	R6JF01	A0A3P1CEI8
174	A0A3P1CEI8	A0A2K8YUM9	R6JF01	A0A3P1CEI8
175	A0A3P1CEI8	A0A0E3ZTG8	R6JF01	A0A3P1CEI8
176	A0A3P1CEI8	A0A4R5DB45	R6JF01	A0A3P1CEI8
177	A0A3P1CEI8	A0A329N580	R6JF01	A0A3P1CEI8
178	A0A3P1CEI8	A0A3N0EZN9	R6JF01	A0A3P1CEI8
179	A0A3P1CEI8	A0A3D2HC57	R6JF01	A0A3P1CEI8
180	A0A3P1CEI8	A0A7V4I956	R6JF01	A0A3P1CEI8
181	A0A3P1CEI8	A0A4Q1C0N4	R6JF01	A0A3P1CEI8
182	A0A3P1CEI8	A0A965LD47	R6JF01	A0A3P1CEI8
183	A0A3P1CEI8	A0A2G4GJ82	R6JF01	A0A3P1CEI8
184	A0A414EMU4	A0A414EMU4	A0A1W1VP43	A0A414EMU4
185	A0A414EMU4	A0A414KCE0	A0A1W1VP43	A0A414EMU4
186	A0A414EMU4	A0A173YNC1	A0A1W1VP43	A0A414EMU4
187	A0A414EMU4	A0A395XB62	A0A1W1VP43	A0A414EMU4
188	A0A414EMU4	A0A373VN90	A0A1W1VP43	A0A414EMU4
189	A0A414EMU4	A0A174M723	A0A1W1VP43	A0A414EMU4
190	A0A414EMU4	A0A6N9LJ79	A0A1W1VP43	A0A414EMU4
191	A0A414EMU4	A0A564UK10	A0A1W1VP43	A0A414EMU4
192	A0A414EMU4	A0A1C5YKJ7	A0A1W1VP43	A0A414EMU4
193	A0A414EMU4	A0A417R0T5	A0A1W1VP43	A0A414EMU4
194	A0A414EMU4	A0A174JQN8	A0A1W1VP43	A0A414EMU4
195	A0A414EMU4	A0A413L1Y6	A0A1W1VP43	A0A414EMU4
196	A0A414EMU4	A0A415LSR8	A0A1W1VP43	A0A414EMU4
197	A0A414EMU4	A0A844GI83	A0A1W1VP43	A0A414EMU4
198	A0A414EMU4	A0A416B1L5	A0A1W1VP43	A0A414EMU4
199	A0A414EMU4	A0A416J2X9	A0A1W1VP43	A0A414EMU4
200	A0A414EMU4	A0A416N3Q2	A0A1W1VP43	A0A414EMU4
201	A0A414EMU4	A0A416Y4G8	A0A1W1VP43	A0A414EMU4
202	A0A414EMU4	A0A417BIA0	A0A1W1VP43	A0A414EMU4
203	A0A414EMU4	A0A417D3B2	A0A1W1VP43	A0A414EMU4
204	A0A414EMU4	A0A417DH82	A0A1W1VP43	A0A414EMU4
205	A0A414EMU4	A0A417DME5	A0A1W1VP43	A0A414EMU4
206	A0A414EMU4	A0A417HCX1	A0A1W1VP43	A0A414EMU4
207	A0A414EMU4	A0A417LGC0	A0A1W1VP43	A0A414EMU4
208	A0A414EMU4	A0A174RS89	A0A1W1VP43	A0A414EMU4
209	A0A414EMU4	A0A413B1B7	A0A1W1VP43	A0A414EMU4
210	A0A414EMU4	A0A417Q525	A0A1W1VP43	A0A414EMU4
211	A0A414EMU4	A0A174EE09	A0A1W1VP43	A0A414EMU4
212	A0A414EMU4	A0A564WUG1	A0A1W1VP43	A0A414EMU4
213	A0A414EMU4	A0A173WE05	A0A1W1VP43	A0A414EMU4
214	A0A414EMU4	R5XDW6	A0A1W1VP43	A0A414EMU4
215	A0A414EMU4	A0A6N2RUA8	A0A1W1VP43	A0A414EMU4
216	A0A4R0SR03	A0A4R0SR03	A0A4R0SR03	A0A4R0SR03
217	A0A4R2N9M3	A0A4R2N9M3	A0A1C5M470	A0A4R2N9M3
218	A0A4U9D433	A0A4U9D433	A0A4U9D433	A0A4U9D433
219	A0A4U9D433	A0A485AZ43	A0A4U9D433	A0A4U9D433
220	A0A520NEC4	A0A520NEC4	A0A1V4RG56	A0A520NEC4
221	A0A6G9AJH4	A0A6G9AJH4	A0A6G9AJH4	A0A6G9AJH4
222	A0A7K2IE74	A0A7K2IE74	A0A7K2IE74	A0A7K2IE74
223	A0A7U9XE02	A0A7U9XE02	A0A7U9XE02	A0A7U9XE02
224	A0A7W0HGQ3	A0A7W0HGQ3	A0A7W0HGQ3	A0A7W0HGQ3
225	A0A828BZS7	A0A828BZS7	A0A3R9QI81	A0A828BZS7
226	A0A930ND38	A0A930ND38		
227	A0A930ND38	A0A930IKZ7		
228	A0A930ND38	A0A1F0NWT5		
229	A0A930ND38	R6VZ04		
230	A0A930ND38	A0A1Y4ALE9		
231	A0A940DP80	A0A940DP80		
232	A0A940DP80	R5UE24		
233	A0A940DP80	I3YKD9		
234	A0A940DP80	A0A5B5VLJ7		
235	A0A940DP80	A0A7J4YI66		
236	A0A940DP80	R6SWV4		
237	A0A940DP80	R5SEZ0		
238	A0A940DP80	R6ECD5		
239	A0A940DP80	W4UQC4		
240	A0A948X5Y5	A0A948X5Y5		
241	A0A948X5Y5	UPI00094B0F9C		
242	A1IHD1	A1IHD1	A1IHD1	A1IHD1
243	A1IHD1	A0A826HY73	A1IHD1	A1IHD1
244	A6ERN7	A6ERN7	D6KPJ5	A6ERN7
245	C3DVN1	C3DVN1	A0A1H9CDL0	C3DVN1
246	D4M4S6	D4M4S6	A0A1W1VP43	D4M4S6
247	E1MAR4	E1MAR4	A0A174D5Y6	E1MAR4
248	E6I8M8	E6I8M8	A0A1H2Z0U0	E6I8M8
249	F5YA48	F5YA48	A0A1V4II71	F5YA48
250	G5KFE3	G5KFE3	A0A1H9CDL0	G5KFE3
251	H1GG26	H1GG26	H1GG26	H1GG26
252	A0A0A2F9L4	A0A0A2F9L4	A0A1H2LC96	A0A0A2F9L4
253	A0A0P0RE78	A0A0P0RE78	A0A0P0RE78	A0A0P0RE78
254	A0A174ULY3	A0A174ULY3	A0A1H2Z0U0	A0A174ULY3
255	A0A1C5QP61	A0A1C5QP61	A0A1C5QP61	A0A1C5QP61
256	A0A1C6A8L4	A0A1C6A8L4	A0A1C6A8L4	A0A1C6A8L4
257	A0A1I2B4B6	A0A1I2B4B6	A0A1I2B4B6	A0A1I2B4B6
258	A0A1S8LKL4	A0A1S8LKL4	A0A1M6GBW1	A0A1S8LKL4
259	A0A1S8LKL4	A0A1S8L3W5	A0A1M6GBW1	A0A1S8LKL4
260	A0A1S8TEN4	A0A1S8TEN4	A0A1V4IRF8	A0A1S8TEN4
261	A0A1V4IFJ8	A0A1V4IFJ8	A0A1V4IRF8	A0A1V4IFJ8
262	A0A1Z9NIR0	A0A1Z9NIR0	A0A7C1VDL4	A0A1Z9NIR0
263	A0A2E9R175	A0A2E9R175	A0A1Y4H2B8	A0A2E9R175
264	A0A2E9R175	A0A3B8LM56	A0A1Y4H2B8	A0A2E9R175
